city,latitude,longitude,hot_days,hot_days_consec,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn,temp_range_winter,temp_range_spring,temp_range_summer,temp_range_autumn
Aachen,50.776642,6.08342,10.633333333333333,4.0,0.003185398,0.002094487,0.0024273868,0.002466088,0.00031973232,5.9416645e-05,1.3254061e-08,4.4125474e-05,4.809805,3.6856055,3.2475932,3.996782,277.70035,283.41315,291.90442,285.39606,280.55936,288.0441,297.1442,289.56375,274.90863,278.70816,286.5554,281.50305,5.6507263,9.3359375,10.588806,8.060699
Aberdeen,57.143688,-2.09814,0.0,0.0,0.0025534364,0.0017685274,0.002016272,0.002912803,0.00015343355,5.386362e-05,1.28431905e-08,1.0204079e-05,6.852776,5.5289536,4.558678,6.0133185,278.44888,281.03064,287.26706,283.56955,280.61642,283.83084,290.28036,286.06006,276.17896,278.0794,284.10764,280.98886,4.4374695,5.7514343,6.1727295,5.0711975
Aix-en-Provence,43.528301,5.44973,31.1,13.466666666666667,0.0017136117,0.0019843765,0.00084511965,0.0033200646,1.8865803e-05,1.8903137e-06,4.916268e-09,3.6073236e-06,3.2407625,3.4218194,2.9917412,3.0409546,281.06802,286.5537,296.3546,289.78595,284.78247,290.94778,301.39905,293.9173,277.91315,282.10382,291.0145,286.11276,6.8693237,8.843964,10.384552,7.804535
Alcalá de Henares,40.482052,-3.35996,81.23333333333333,44.766666666666666,0.0014114646,0.0015408207,0.0005772376,0.0016822031,0.00015591815,4.5958957e-05,2.7474493e-06,4.719921e-05,2.14043,2.4040704,2.3620894,2.0881927,280.41937,286.2651,298.07138,289.0762,285.8679,292.3521,305.87088,295.2049,275.6669,280.0365,289.77023,283.39615,10.200989,12.315613,16.100647,11.808746
Alicante,38.345169,-0.48149,88.36666666666666,59.7,0.0011545634,0.0013019479,0.00035272987,0.0016536727,1.5132368e-05,2.8508089e-06,7.009815e-09,3.8716353e-06,2.7109985,2.6286721,2.3345945,2.3954785,284.52872,289.02402,299.22763,292.74304,290.42313,294.80038,305.54388,298.56427,279.60532,283.3956,293.03085,287.66647,10.81781,11.404785,12.513031,10.897797
Almería,36.838139,-2.45974,71.46666666666667,41.86666666666667,0.0010488391,0.0009669064,0.00022040577,0.0010901127,0.00010754235,3.9045164e-05,1.0142454e-09,6.642083e-06,1.8865092,2.1690514,1.9222561,1.9000057,283.00867,287.7237,298.14816,291.2495,288.74765,293.12875,304.20477,296.91074,278.4166,282.24393,291.68045,286.27344,10.331055,10.884827,12.5243225,10.637299
Amersfoort,52.154999,5.3875,5.333333333333333,2.466666666666667,0.002894454,0.0018661225,0.0022088136,0.0025194718,0.0001326876,1.9367937e-05,5.5804956e-09,1.0330169e-05,4.996288,3.943967,3.443872,4.0710855,278.2885,283.33792,291.18704,285.1922,280.97437,287.87537,296.18152,289.22818,275.57788,278.62003,285.81863,281.33646,5.3964844,9.255341,10.3628845,7.8917236
Amiens,49.900002,2.3,7.366666666666666,3.6,0.0028987282,0.002007362,0.0022613932,0.002554682,0.00013470688,1.553836e-05,7.562469e-09,8.511912e-06,4.722943,3.8496735,3.4053774,3.9373639,279.15164,284.0201,292.03995,286.37607,281.63773,287.96848,296.65466,290.04105,276.6519,279.9096,287.19162,282.8498,4.98584,8.058868,9.463043,7.1912537
Amsterdam,52.374031,4.88969,0.6333333333333333,0.4666666666666667,0.0031761648,0.001943134,0.0024186494,0.0031522855,0.0001320977,1.5430905e-05,7.655741e-09,8.174901e-06,6.430255,5.002021,4.371532,5.320237,278.39624,282.96555,290.61963,285.62695,280.5042,286.30457,294.1404,288.63293,276.20593,279.4405,286.63953,282.65146,4.298279,6.8640747,7.500885,5.981476
Angers,47.466671,-0.55,20.533333333333335,7.666666666666667,0.002734709,0.0019474924,0.0013968789,0.0024059704,3.3782377e-05,2.0986906e-06,7.742104e-09,2.1609264e-06,4.1227503,3.610039,3.2243876,3.4799001,280.02713,284.9677,293.38333,287.26984,283.1841,289.75803,299.06302,292.0238,276.8773,280.0189,287.47543,282.82065,6.3068237,9.739136,11.587585,9.2031555
