city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
Aachen,50.776642,6.08342,0.0031457422,0.002086388,0.0024499875,0.0026806486,0.0003593575,6.529619e-05,1.6402828e-08,5.112564e-05,4.5928516,3.5758011,3.1909244,3.958367,277.61063,283.72635,291.8162,284.861,280.418,288.45422,297.15747,289.03647,274.7688,278.9242,286.40482,281.02533
Aberdeen,57.143688,-2.09814,0.002571443,0.0017630344,0.0019805382,0.002830478,0.00018776696,8.851609e-05,3.732332e-09,1.6905964e-05,6.774324,5.463084,4.505708,6.092526,278.20447,280.86456,286.88873,283.1652,280.4012,283.77716,289.95215,285.65973,275.85916,277.81253,283.6792,280.61893
Aix-en-Provence,43.528301,5.44973,0.0015790527,0.001913039,0.0008283594,0.0028543756,7.4309473e-06,1.966127e-06,4.5778398e-10,2.317743e-06,3.0319498,3.3513827,2.9142036,3.0043464,280.85242,286.91562,296.6914,289.67987,284.553,291.48648,301.7728,294.01297,277.7119,282.33612,291.32037,285.82346
Alcalá de Henares,40.482052,-3.35996,0.0010623212,0.001348722,0.000463049,0.0015546338,0.00018006662,2.0438072e-05,3.0282146e-07,2.2792057e-05,2.2133412,2.3865714,2.42129,2.1913521,279.95407,286.97076,298.61142,289.27936,285.56882,293.66772,306.68375,295.59885,274.94528,280.0864,289.95743,283.39386
Alicante,38.345169,-0.48149,0.001200642,0.0009764174,0.00022481903,0.0014922142,1.2028768e-05,2.9241312e-06,2.6852585e-09,6.246442e-07,2.7750983,2.5652952,2.3919086,2.5310092,284.11627,289.54953,299.58807,292.7807,289.95044,295.78644,306.11798,298.66583,279.17932,283.4311,293.1955,287.60492
Almería,36.838139,-2.45974,0.0010973611,0.0007134979,0.00018660915,0.0009557804,0.00015284459,1.7756765e-05,6.664377e-10,2.2466525e-05,1.9957615,2.1031208,1.970093,1.9787371,282.54782,288.26285,298.52692,291.3483,288.248,294.09225,304.7764,297.08728,277.93546,282.29596,291.8787,286.27646
Amersfoort,52.154999,5.3875,0.0028059157,0.0019397428,0.0020645072,0.0027352755,0.0001105861,2.2594779e-05,4.5790993e-09,1.4513991e-05,4.7656837,3.9423013,3.4074776,4.0988073,278.20578,283.54602,290.9879,284.68576,280.88254,288.1665,296.08112,288.71524,275.42224,278.75006,285.54584,280.88205
Amiens,49.900002,2.3,0.0031207926,0.0020602774,0.0021346253,0.0024039217,0.0001371245,2.6220436e-05,6.147728e-09,2.4616596e-05,4.583618,3.7577908,3.3969295,3.8962922,278.97766,284.1753,291.9243,286.02924,281.4335,288.30396,296.62375,289.87955,276.45456,279.9766,287.06042,282.39526
Amsterdam,52.374031,4.88969,0.0029372752,0.0020761103,0.002097302,0.0032253154,8.0659425e-05,1.2696386e-05,6.5557493e-09,4.807419e-06,6.2015195,5.0796614,4.367123,5.3967657,278.3192,283.1191,290.3957,285.15662,280.43372,286.56104,293.99835,288.1971,276.06955,279.50952,286.3812,282.1954
Angers,47.466671,-0.55,0.0027756486,0.0017366111,0.0014074808,0.0022814851,1.991634e-05,3.8731446e-06,1.2130151e-08,1.0391808e-06,4.053416,3.4908938,3.2396832,3.4156775,279.72342,285.03268,293.36386,287.13504,282.93286,290.1173,299.13333,292.08496,276.57092,279.88397,287.4443,282.5377
Antwerpen,51.219891,4.40346,0.0027158682,0.0017330179,0.0021343909,0.0023877488,9.547488e-05,2.045348e-05,9.306057e-09,1.7742423e-05,4.5593543,3.7213101,3.31557,3.930642,278.74823,284.1059,291.9344,285.37683,281.48837,288.5957,296.92096,289.41486,275.9188,279.5074,286.77496,281.61224
Apeldoorn,52.209999,5.96944,0.0029019343,0.0019963626,0.0022457305,0.0028535468,0.0001073288,1.9637835e-05,4.3644124e-09,1.4393345e-05,4.641033,3.884217,3.3663945,4.0476317,278.21652,283.4993,290.7869,284.61,280.76773,288.09125,295.80133,288.53317,275.56348,278.73862,285.39395,280.90317
Arezzo,43.461391,11.87691,0.0017345988,0.0019842722,0.0011760683,0.003055903,0.00032378433,2.338357e-05,2.8875935e-09,0.00012510236,2.195658,2.1956,1.9083922,2.0506501,277.7803,284.37543,295.20474,286.7962,280.99094,288.7108,300.56665,290.82904,274.9653,280.0787,289.82916,283.18597
Arnhem,51.98,5.91111,0.0028319662,0.0019053608,0.0022027493,0.0027286396,0.00012270128,2.5555059e-05,8.905504e-09,1.5449015e-05,4.4862576,3.7161534,3.2547061,3.9027839,278.3247,283.68103,291.17926,284.7614,280.9271,288.32465,296.3507,288.75372,275.63492,278.89572,285.73865,281.01343
Athens,37.97945,23.716221,0.0022595348,0.0008904628,0.00018731845,0.0012823085,3.2150765e-05,1.888671e-05,5.425197e-10,9.945945e-06,2.6744401,2.404121,2.5537467,2.3936875,282.9274,288.6466,300.62985,292.2185,286.66345,293.89532,306.40472,297.0646,279.40942,283.55368,294.50922,287.81674
Augsburg,48.366669,10.88333,0.0020700356,0.002511662,0.0031679585,0.0022416164,0.0005986512,0.00017042064,1.8632312e-08,8.3271865e-05,3.1336412,2.667224,2.2850509,2.5495954,275.09113,283.50946,292.9844,283.93494,278.12744,288.69495,298.84076,288.6803,272.20706,278.60364,287.3769,279.74985
Avignon,43.948341,4.80892,0.0016672161,0.001931125,0.0009783974,0.003351563,7.762883e-05,1.9868192e-05,3.900844e-09,9.417399e-06,3.1951911,3.2779,3.107236,3.0076947,280.05807,286.65298,296.67816,288.91608,283.99667,291.79672,302.54095,293.61435,276.71454,281.63763,290.7559,284.7797
Barcelona,41.38879,2.15899,0.0007757468,0.0014618819,0.0011429163,0.00304647,1.6401902e-05,7.6525413e-07,3.3094902e-09,4.7643275e-06,2.1729352,2.2141309,2.0118299,1.9527414,282.298,287.5325,297.36993,290.66187,286.99704,292.5721,302.49005,295.5371,278.3902,282.70016,292.39362,286.54602
Bari,41.117729,16.851179,0.0019999063,0.001211489,0.0004838255,0.0016940739,1.3758798e-05,2.2744234e-06,1.3097363e-09,1.0804779e-05,3.7938898,3.439012,2.9109497,3.2092433,282.6699,288.34976,299.4953,291.742,286.43964,293.19257,305.13037,296.38153,279.1887,283.63046,293.70938,287.66678
Basel,47.558399,7.57327,0.0035279857,0.003509383,0.0032888043,0.0031559926,0.0007461708,0.00020249365,2.2771276e-06,8.6951695e-05,2.2912903,2.038462,1.7371819,1.8495629,275.99783,283.976,292.67743,284.38312,278.58826,288.82532,298.36945,288.84518,273.5969,279.41376,287.226,280.54037
Bath,51.377949,-2.35907,0.0029661336,0.0019236036,0.001614163,0.0028558217,0.00012273392,2.3439585e-05,4.179059e-09,1.4052572e-05,4.45219,3.9403834,3.3951008,3.9033256,278.53787,282.54486,290.0182,284.74487,281.36636,286.79242,294.7786,288.40363,275.51404,278.26526,285.11322,281.1249
Belfast,54.583328,-5.93333,0.0038354143,0.0025917399,0.0020544962,0.0037933732,0.00012545807,2.6574791e-05,4.060029e-09,2.8040178e-05,5.7592297,4.75566,3.8253093,5.0890436,278.5072,281.42432,287.8657,283.63022,281.15213,285.0964,291.90146,286.78522,275.77246,277.74274,283.74188,280.4772
Belgrade,44.804008,20.46513,0.0014109272,0.0015880556,0.0021141456,0.0015785992,0.00029715683,3.0257565e-05,9.104965e-09,3.6473026e-05,2.8456306,2.7650294,2.4664745,2.7852855,276.8435,286.92206,298.41986,287.7492,280.13205,292.2306,304.62735,292.8504,273.62082,281.54987,292.0843,283.10123
Bergamo,45.697979,9.66895,0.00146647,0.0030350313,0.002661341,0.003045321,0.00021254335,6.378708e-05,1.2544758e-07,2.5946294e-05,1.5291202,1.6747822,1.4775035,1.4791799,277.455,286.55887,296.82492,287.21005,281.1362,291.60297,302.26443,291.80145,274.52252,281.66306,291.502,283.10736
Bergen,60.39299,5.32415,0.011704492,0.0062180366,0.0053355666,0.011076386,0.0050563347,0.0015724361,1.0399672e-06,0.0010259241,3.3580568,3.0657296,2.5755873,3.145926,276.02527,280.06592,287.30038,281.6222,277.55286,282.92288,290.33707,283.7947,274.1603,276.6542,283.69894,279.23264
Berlin,52.524368,13.41053,0.0017326765,0.0016041441,0.0020201348,0.0015701104,0.00017372103,4.3498312e-05,8.576036e-09,3.0645846e-05,3.8764715,3.2365906,2.976264,3.5716774,276.76028,284.25473,292.82465,284.69452,279.23547,289.10388,298.02533,288.49,274.19968,279.2548,287.43268,281.03156
Bern,46.94809,7.44744,0.00379526,0.0042042746,0.004176177,0.0036324225,0.0015924512,0.00081460516,3.4819743e-05,0.00045704487,1.8860968,1.6972841,1.4605529,1.5675766,274.81406,282.4255,291.25745,283.21942,277.4157,286.95285,296.62936,287.42648,272.38077,278.0775,286.05566,279.53476
Besançon,47.248779,6.01815,0.0035305256,0.0032578532,0.0028566355,0.003676194,0.00046510517,0.000115976145,1.2034855e-06,4.2600794e-05,3.2478187,2.7028074,2.3501189,2.644027,276.81464,284.38434,293.22238,285.1873,279.73596,289.35895,298.9815,289.9022,274.04132,279.54248,287.5981,281.01343
Bielefeld,52.033329,8.53333,0.0029082673,0.0020241146,0.0025655238,0.0026821909,0.0002707106,5.0862487e-05,1.4908792e-08,4.3073836e-05,4.1208286,3.3493323,3.0018744,3.6449306,277.1686,283.4002,291.33813,284.3117,279.48798,288.00806,296.36066,288.02567,274.73993,278.72552,286.21927,280.85114
Bilbao,43.262711,-2.92528,0.0036716724,0.0026634622,0.0015683096,0.0035263628,6.424475e-05,1.5798387e-05,4.4177204e-09,1.0335381e-05,2.9744544,2.4978669,2.2117572,2.5217915,281.24313,285.51138,292.99338,288.9385,285.55713,290.8213,299.0728,294.29974,277.24826,280.10352,287.13318,284.16434
Birmingham,52.481419,-1.89983,0.0022620275,0.0018065756,0.0018759326,0.0023766912,0.00019198596,2.6522475e-05,1.0616889e-08,7.1670984e-06,4.722241,4.069339,3.5863101,4.2026224,278.24973,282.42517,289.7636,284.29913,281.1457,286.77426,294.86688,288.13348,275.23947,278.07346,284.5672,280.58057
Blackpool,53.816669,-3.05,0.0041424274,0.0024255943,0.002317644,0.0040122042,0.00026448898,7.186915e-05,1.33903315e-08,3.6424226e-05,5.546182,4.536058,3.9742825,5.0362816,278.09372,281.71817,288.64423,283.75034,280.74777,285.46063,292.65292,286.94373,275.35535,277.81647,284.33432,280.51865
