city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
Gibraltar,36.25,-5.25,0.0036332065,0.0011393969,0.00015382594,0.002472629,9.8757e-07,5.3011615e-08,3.2789518e-10,3.381976e-06,3.6403959,3.5483475,3.4035676,3.359155,287.31454,291.592,299.49725,294.48987,292.2466,296.915,304.60394,299.0622,282.9888,286.3622,294.5033,290.43152
Athens,38.0,23.75,0.002041445,0.0007873294,0.00017637119,0.0013445362,3.3416043e-05,2.0335933e-06,6.467575e-11,7.2916595e-07,2.7820835,2.3482323,2.5766277,2.4388366,283.34872,289.47418,301.4022,293.57123,286.95926,294.63318,307.18588,298.5791,279.9143,284.483,295.35815,289.0582
Saint Peter Port,49.5,-2.5,0.004397756,0.002710581,0.0015625721,0.0034311924,2.6195892e-05,4.5588894e-07,8.8105985e-09,5.5243763e-06,9.3748045,7.353727,5.846561,7.686923,283.018,284.02872,290.82657,288.52905,284.04675,284.92944,291.69568,289.4897,282.01068,283.18143,290.0029,287.6065
Vatican City,42.0,12.5,0.0025413255,0.0019482467,0.0009217717,0.0050013796,5.8849004e-05,8.736137e-06,2.700741e-09,1.3003589e-05,2.6172159,2.3464522,1.9735037,2.275171,282.6913,288.30316,299.74127,291.88718,286.98553,293.68472,305.89282,297.08594,278.8778,283.05206,293.38834,287.36713
Budapest,47.5,19.0,0.0012533101,0.0016414218,0.0016801665,0.0016163768,0.00024096206,3.8668855e-05,1.3010367e-08,5.3628617e-05,2.9070535,2.7656543,2.704198,2.736723,276.2427,285.72855,296.82056,286.86627,279.7619,291.6031,303.6096,292.4976,272.67548,279.65137,289.5604,281.7303
Reykjavik,64.25,-22.0,0.005729003,0.0034904915,0.002575393,0.00411594,0.002257445,0.0008908968,6.7395206e-08,0.00029948683,4.615006,4.104896,3.4217389,4.2074957,274.74026,277.40787,284.7896,279.08844,276.50125,279.6373,287.1151,280.93536,272.7988,274.9992,282.42694,277.15204
Dublin,53.25,-6.25,0.0038368248,0.0032092389,0.0021541389,0.0037193422,0.00017960704,3.0210304e-05,9.22915e-09,3.4618843e-06,5.244675,4.492049,3.6643481,4.4348536,279.48767,282.21088,289.59662,284.6718,282.09192,285.75705,293.78137,287.71695,276.97467,278.82294,285.3994,281.67963
Douglas,54.25,-4.5,0.0054450417,0.0033700783,0.0023486442,0.0051116766,2.3222798e-05,6.596746e-06,3.5949448e-08,2.309997e-06,10.036645,7.8104157,6.4165726,8.491774,281.43777,282.32065,288.6701,286.48682,282.48175,283.17975,289.65723,287.35742,280.4255,281.46957,287.68634,285.63086
Rome,42.0,12.5,0.0025413255,0.0019482467,0.0009217717,0.0050013796,5.8849004e-05,8.736137e-06,2.700741e-09,1.3003589e-05,2.6172159,2.3464522,1.9735037,2.275171,282.6913,288.30316,299.74127,291.88718,286.98553,293.68472,305.89282,297.08594,278.8778,283.05206,293.38834,287.36713
Saint Helier,49.25,-2.0,0.0040659104,0.002685068,0.0017576625,0.0033264745,3.1984833e-05,1.8189397e-06,6.544185e-09,1.17078225e-05,7.688132,6.215221,5.104597,6.365802,282.1448,284.4708,292.02844,288.25528,283.79312,286.5924,294.45636,290.18106,280.4784,282.40973,289.63132,286.3673
Pristina,42.75,21.25,0.0013741846,0.0017693673,0.0016987821,0.0018360352,0.00059683557,0.00015093142,6.7093695e-09,0.00014359395,1.9760743,2.0733705,1.7909981,1.8189996,274.8839,284.69757,296.34045,286.60544,278.35266,290.2243,303.17633,292.11044,271.65836,279.42853,289.82864,281.88882
