city,latitude,longitude,hot_days,hot_days_consec,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn,temp_range_winter,temp_range_spring,temp_range_summer,temp_range_autumn
Augsburg,48.366669,10.88333,13.9,4.666666666666667,0.0020197167,0.0023171934,0.003408237,0.0022940396,0.0005560794,0.00017267131,1.8708233e-08,0.00010678955,3.1307118,2.775834,2.3259249,2.6347594,274.70117,282.93887,292.42892,283.63412,277.69632,288.07294,298.07526,288.15186,271.81406,277.9831,287.03827,279.66306,5.882263,10.089844,11.036987,8.4888
Avignon,43.948341,4.80892,37.333333333333336,15.9,0.0019174566,0.002046352,0.0010723236,0.003539556,0.000108844935,2.4575584e-05,2.4329763e-08,1.4382972e-05,3.268736,3.3833792,3.240045,3.0998037,279.84888,286.00458,296.04385,288.5235,283.76117,291.01108,301.80872,293.1044,276.514,281.08185,290.2314,284.53406,7.247162,9.92923,11.577301,8.570343
Barcelona,41.38879,2.15899,36.93333333333333,14.466666666666667,0.0011452636,0.0016971398,0.0013290141,0.0031337833,3.055273e-05,7.708354e-06,2.8130316e-09,1.9328181e-05,2.1398149,2.258778,1.984156,1.8979106,282.26434,286.84924,296.672,290.2953,286.84927,291.66544,301.56744,294.96426,278.4678,282.22916,291.89542,286.33096,8.38147,9.436279,9.672028,8.633301
Bari,41.117729,16.851179,72.0,36.13333333333333,0.0021412512,0.0016000663,0.0006885947,0.0019287188,1.6717464e-05,3.6892682e-06,1.271349e-09,5.843434e-06,3.9055636,3.461842,2.8561804,3.1988943,282.52063,287.67126,298.92123,291.4567,286.25006,292.3071,304.3393,296.10858,279.0321,283.13702,293.32288,287.34628,7.2179565,9.170074,11.016418,8.762299
Basel,47.558399,7.57327,11.533333333333333,4.166666666666667,0.0035292094,0.003198815,0.0033852137,0.0032166094,0.00074635196,0.00022583654,4.413013e-06,0.00011616774,2.2782147,2.093662,1.7881311,1.894874,275.66418,283.29092,292.1224,284.1362,278.3797,288.10715,297.62344,288.3874,273.1292,278.6889,286.8072,280.44595,5.2504883,9.418243,10.816254,7.941437
Bath,51.377949,-2.35907,1.0333333333333334,0.7333333333333333,0.0029925099,0.002045017,0.0018597905,0.0029677222,0.0001803384,2.715684e-05,3.92179e-09,9.744426e-06,4.47001,3.914761,3.4631205,3.9790215,278.3209,282.4844,289.94986,284.53674,281.08148,286.6578,294.52762,288.10046,275.35724,278.21082,285.1954,281.00845,5.724243,8.446991,9.332214,7.0920105
Belfast,54.583328,-5.93333,0.0,0.0,0.0037588608,0.0026659372,0.0024133846,0.0037328792,0.00015269923,3.118646e-05,5.6249614e-09,2.4144565e-05,5.4876323,4.6207423,3.8826282,5.0739264,278.316,281.3877,287.818,283.48227,280.92575,285.0301,291.73434,286.58395,275.65002,277.6743,283.8253,280.37253,5.2757263,7.3558044,7.9090576,6.211426
Belgrade,44.804008,20.46513,60.43333333333333,19.9,0.0014576658,0.0018997184,0.0022018598,0.0016939606,0.00029953857,7.080413e-05,9.95141e-09,4.3007112e-05,2.831457,2.773426,2.3541398,2.735129,276.64578,286.16925,297.7794,287.24847,279.89203,291.2387,303.7616,292.21884,273.38654,281.06064,291.70517,282.71942,6.505493,10.17807,12.056427,9.49942
Bergamo,45.697979,9.66895,32.06666666666667,11.866666666666667,0.0017873051,0.0028614497,0.0029410452,0.0034921984,0.00028144542,7.713909e-05,5.470243e-07,3.9103987e-05,1.466198,1.6740192,1.4813665,1.4478062,277.06082,285.93036,296.15396,286.90378,280.6616,290.8802,301.461,291.3182,274.10092,281.09167,290.97742,282.96945,6.560669,9.788513,10.483582,8.348755
Bergen,60.39299,5.32415,0.0,0.0,0.010430135,0.0062820753,0.0053041843,0.010647785,0.0046310723,0.0019315073,1.5498592e-06,0.0009499898,3.215934,2.9904008,2.5875025,3.2455914,274.90182,279.29495,287.39075,281.46722,276.50836,282.1948,290.45306,283.6724,272.93396,275.85867,283.74606,279.0214,3.5744019,6.3361206,6.7070007,4.651001
