city,latitude,longitude,max_t2m_winter,min_t2m_winter,temp_range_winter,max_t2m_spring,min_t2m_spring,temp_range_spring,max_t2m_summer,min_t2m_summer,temp_range_summer,max_t2m_autumn,min_t2m_autumn,temp_range_autumn,hot_days,hot_days_consec
Aachen,50.776642,6.08342,276.31467,271.89395,4.4207153,285.1883,277.5166,7.671692,293.05185,285.06857,7.9832764,285.83505,279.67465,6.1604004,1.3548387096774193,0.7741935483870968
Aberdeen,57.143688,-2.09814,278.59735,275.7436,2.8537598,281.46152,277.92258,3.5389404,287.44998,283.97882,3.471161,284.231,281.1601,3.0708923,0.0,0.0
Aix-en-Provence,43.528301,5.44973,282.08875,275.29337,6.7953796,289.62628,281.36343,8.262848,299.40625,290.16623,9.240021,291.5434,283.942,7.60141,9.96774193548387,4.419354838709677
Alcalá de Henares,40.482052,-3.35996,281.4177,273.61734,7.800354,289.63766,278.9233,10.714355,301.57245,288.45715,13.115295,291.5546,281.5368,10.017792,41.61290322580645,14.419354838709678
Alicante,38.345169,-0.48149,286.28226,280.0142,6.2680664,291.48026,284.3813,7.0989685,300.2726,292.93314,7.3394775,294.25198,287.80475,6.447235,10.774193548387096,3.903225806451613
Almería,36.838139,-2.45974,285.47656,280.41083,5.065735,290.16144,284.339,5.8224487,298.87134,292.45334,6.4179993,292.9832,287.54788,5.4353027,2.129032258064516,1.4838709677419355
Amersfoort,52.154999,5.3875,277.2899,273.0454,4.2444763,285.32544,278.07645,7.248993,293.15244,285.68912,7.463318,286.52518,280.7657,5.759491,1.4193548387096775,0.9354838709677419
Amiens,49.900002,2.3,278.30624,273.4558,4.8504333,286.1693,278.1795,7.989807,293.75107,285.28476,8.466309,287.15225,280.49475,6.657501,1.8064516129032258,1.0
Amsterdam,52.374031,4.88969,277.64667,274.14676,3.4999084,284.05804,278.6264,5.4316406,291.84265,286.35263,5.4900208,286.37546,281.95477,4.420685,0.12903225806451613,0.12903225806451613
Angers,47.466671,-0.55,280.42966,274.82202,5.6076355,287.8534,279.51614,8.33725,295.8053,286.66806,9.137238,289.0008,281.71747,7.283325,4.193548387096774,2.096774193548387
Antwerpen,51.219891,4.40346,277.90237,273.36227,4.5401,286.1222,278.45422,7.6679688,293.79,285.89767,7.892334,287.01584,280.81467,6.201172,2.129032258064516,1.3225806451612903
Apeldoorn,52.209999,5.96944,276.9766,272.5421,4.4344788,285.4549,277.72348,7.731415,293.38684,285.39847,7.988373,286.44614,280.35648,6.0896606,1.6774193548387097,1.0
Arezzo,43.461391,11.87691,279.7473,273.22183,6.525482,288.47177,279.34512,9.126648,299.16464,288.52988,10.634766,290.48764,282.1059,8.381744,14.67741935483871,6.096774193548387
Arnhem,51.98,5.91111,277.08463,272.64438,4.4402466,285.68274,277.88364,7.799103,293.59448,285.54245,8.052032,286.5481,280.4154,6.1326904,2.032258064516129,1.1612903225806452
Athens,37.97945,23.716221,285.45157,279.8552,5.5963745,292.42975,284.39572,8.034027,303.53082,294.42133,9.109497,295.26715,288.24466,7.0224915,60.193548387096776,17.870967741935484
Augsburg,48.366669,10.88333,274.54892,268.97928,5.569641,285.751,277.00403,8.746979,294.4208,285.47256,8.948242,285.73553,278.4224,7.313141,2.129032258064516,1.4193548387096775
Avignon,43.948341,4.80892,281.73184,275.0013,6.73053,290.16104,281.21927,8.941772,300.25983,290.07242,10.187408,291.56912,283.45514,8.113983,20.806451612903224,8.32258064516129
Barcelona,41.38879,2.15899,283.90155,279.0213,4.880249,288.70236,283.4909,5.2114563,297.14526,292.10907,5.036194,291.88235,287.28418,4.598175,0.12903225806451613,0.12903225806451613
Bari,41.117729,16.851179,284.57715,280.67078,3.906372,289.7858,284.7923,4.9934998,299.61954,294.17322,5.4463196,293.24878,288.7521,4.4966736,9.516129032258064,4.032258064516129
Basel,47.558399,7.57327,275.57394,269.7031,5.8708496,286.00302,277.23224,8.770782,294.42566,285.44913,8.976532,286.08673,278.71887,7.367859,2.2580645161290325,1.4193548387096775
Bath,51.377949,-2.35907,279.3994,274.38986,5.009552,285.2351,277.7817,7.4533997,292.27585,284.61108,7.6647644,286.5571,280.3392,6.2178955,0.0967741935483871,0.0967741935483871
Belfast,54.583328,-5.93333,279.9959,276.87704,3.118866,283.13962,279.05542,4.084198,288.80203,284.71082,4.091217,285.2923,281.9122,3.3800964,0.0,0.0
Belgrade,44.804008,20.46513,276.68027,270.5264,6.1538696,289.62384,280.52698,9.096863,300.25238,290.2064,10.04599,290.7846,282.1335,8.651093,28.0,7.161290322580645
Bergamo,45.697979,9.66895,276.7679,269.56174,7.2061768,287.4003,278.2283,9.171997,296.83444,287.4212,9.413239,288.0768,280.28836,7.788452,1.8064516129032258,1.2903225806451613
Bergen,60.39299,5.32415,273.0436,269.48438,3.5592346,279.04092,274.11975,4.921173,287.75507,282.97015,4.784912,281.56793,277.7316,3.8363342,0.0,0.0
Berlin,52.524368,13.41053,274.6067,270.02838,4.578308,285.0475,277.20874,7.838745,294.72693,286.25882,8.468109,285.7978,279.40067,6.3971252,2.5483870967741935,1.3870967741935485
Bern,46.94809,7.44744,273.26797,266.96112,6.3068542,283.1019,274.3993,8.702606,292.01465,282.8128,9.201843,284.07187,276.27927,7.7926025,0.22580645161290322,0.16129032258064516
Besançon,47.248779,6.01815,277.439,272.03284,5.4061584,287.03247,278.63904,8.393433,295.31964,286.35245,8.967194,287.30768,280.1939,7.1137695,4.0,2.129032258064516
