city,latitude,longitude,max_t2m_winter,min_t2m_winter,temp_range_winter,max_t2m_spring,min_t2m_spring,temp_range_spring,max_t2m_summer,min_t2m_summer,temp_range_summer,max_t2m_autumn,min_t2m_autumn,temp_range_autumn,hot_days,hot_days_consec
Bielefeld,52.033329,8.53333,275.82977,271.3324,4.4973755,285.27472,277.26306,8.011658,293.7873,285.23013,8.557159,286.0016,279.5567,6.4448853,2.2903225806451615,1.4516129032258065
Bilbao,43.262711,-2.92528,282.65817,278.1035,4.5546875,287.02408,281.46457,5.5595093,293.52496,287.85483,5.6701355,289.82852,284.5664,5.2621155,0.25806451612903225,0.16129032258064516
Birmingham,52.481419,-1.89983,278.82516,273.90097,4.9241943,285.0043,277.36615,7.638153,292.22543,284.27017,7.955261,286.16928,279.88046,6.2888184,0.0967741935483871,0.0967741935483871
Blackpool,53.816669,-3.05,279.2657,276.3885,2.8771973,282.80536,279.0788,3.7265625,289.09085,285.7656,3.3252563,285.47137,282.44418,3.0271912,0.0,0.0
Bochum,51.481651,7.21648,276.30838,271.8709,4.4374695,285.56488,277.72015,7.8447266,293.6946,285.48068,8.213928,286.1657,279.91397,6.2517395,2.2903225806451615,1.3548387096774193
Bologna,44.493809,11.33875,279.59808,273.07626,6.52182,290.00415,280.82684,9.177307,300.6801,290.38852,10.291595,291.5397,283.23077,8.308929,26.838709677419356,8.903225806451612
Bonn,50.734379,7.09548,276.143,271.66064,4.482361,285.48538,277.53583,7.9495544,293.59177,285.29144,8.3003235,285.9454,279.63315,6.312256,1.8709677419354838,1.0
Bordeaux,44.840439,-0.5805,282.21957,276.4492,5.7703857,289.6068,281.3776,8.229218,297.33002,288.4453,8.884705,290.939,283.6276,7.3114014,10.290322580645162,3.3870967741935485
Bournemouth,50.720482,-1.8795,280.23483,276.73813,3.496704,284.2343,279.50345,4.7308655,290.99075,286.16016,4.830597,286.8763,282.8729,4.003418,0.0,0.0
Bradford,53.793911,-1.75206,277.86102,273.2448,4.616211,283.68655,276.55023,7.136322,290.60486,283.4378,7.167053,285.00012,279.31146,5.6886597,0.0,0.0
Braga,41.55032,-8.42005,283.72958,277.1267,6.6028748,288.93295,280.95764,7.9753113,296.6689,287.2315,9.437408,291.15372,283.40787,7.7458496,5.096774193548387,2.5806451612903225
Bratislava,48.148159,17.106741,274.75635,269.3102,5.4461365,287.32993,278.6022,8.727722,297.4819,287.92706,9.55484,287.93655,280.141,7.7955627,9.483870967741936,4.0
Braunschweig,52.265942,10.52673,275.00687,270.5469,4.459961,284.86218,277.00845,7.8537292,293.88098,285.41245,8.468536,285.65274,279.27084,6.381897,1.935483870967742,1.1612903225806452
Braşov,45.648609,25.606131,272.66345,265.4241,7.2393494,283.86032,274.98102,8.879303,294.3087,284.84216,9.466522,285.45776,276.62186,8.835907,0.5161290322580645,0.3225806451612903
Breda,51.586559,4.77596,277.6651,273.1904,4.474701,285.82898,278.2292,7.5997925,293.54297,285.7233,7.8196716,286.8221,280.7187,6.103424,1.7096774193548387,1.096774193548387
Bremen,53.075161,8.80777,275.8788,271.62415,4.254669,284.92184,277.34512,7.576721,293.49783,285.486,8.011841,285.90182,279.95685,5.944977,1.4193548387096775,0.9032258064516129
Brescia,45.52478,10.22727,277.7279,271.1743,6.5536194,288.3262,279.10245,9.223755,297.76065,288.76804,8.992615,288.98483,281.91174,7.0730896,4.483870967741935,2.903225806451613
Brest,48.400002,-4.48333,282.4577,280.1931,2.2645874,284.53055,282.25485,2.2756958,289.7379,287.5519,2.1860046,287.46786,285.3211,2.146759,0.0,0.0
Brighton,50.828381,-0.13947,279.82446,276.53976,3.2846985,283.85547,279.46677,4.3887024,290.72562,286.25037,4.4752502,286.79306,282.96725,3.8258057,0.0,0.0
Bristol,51.455231,-2.59665,279.4735,274.52472,4.9487915,285.2023,277.92026,7.2820435,292.17462,284.7982,7.3764343,286.55182,280.51086,6.0409546,0.06451612903225806,0.06451612903225806
Brno,49.195221,16.60796,273.67728,268.43228,5.244995,285.65836,277.1025,8.555847,295.57217,286.177,9.395172,286.18817,278.71036,7.4778137,3.225806451612903,1.6129032258064515
Brugge,51.20892,3.22424,278.45828,274.79742,3.6608582,284.62378,279.16077,5.4630127,292.15375,286.6311,5.522644,286.88214,282.2919,4.5902405,0.16129032258064516,0.16129032258064516
Brussels,50.850449,4.34878,277.73605,273.14874,4.587311,286.12497,278.26907,7.855896,293.75897,285.63263,8.126343,286.89667,280.53583,6.36084,2.096774193548387,1.2580645161290323
Bucharest,44.432251,26.10626,275.59964,269.21042,6.389221,288.89206,279.6894,9.202667,300.5515,290.51053,10.040985,290.3122,281.37283,8.939362,26.225806451612904,8.580645161290322
Budapest,47.498009,19.039909,274.91544,269.04105,5.8743896,287.76065,278.7103,9.050354,298.23853,288.23395,10.004578,288.5147,280.07687,8.437836,12.129032258064516,4.32258064516129
Burgos,42.349998,-3.7,279.0359,272.68137,6.3545227,286.14667,277.03595,9.110718,295.8854,284.56628,11.319122,288.54996,279.75287,8.797089,4.870967741935484,2.5483870967741935
Bydgoszcz,53.123501,18.00762,272.92227,268.17694,4.745331,283.7718,275.7276,8.044189,294.43304,285.5896,8.843445,284.84778,278.39304,6.4547424,1.3870967741935485,1.032258064516129
Cagliari,39.207378,9.13462,285.95764,280.4087,5.54895,291.28555,283.7494,7.5361633,301.49396,292.24075,9.253204,294.77142,287.89944,6.8719788,29.580645161290324,11.161290322580646
Cambridge,52.200001,0.11667,279.02856,274.1031,4.925476,285.3454,277.71567,7.62973,292.98712,284.86856,8.118561,286.86526,280.36746,6.4978027,0.2903225806451613,0.25806451612903225
Cardiff,51.48,-3.18,279.45972,275.12372,4.3359985,284.55698,278.2933,6.263672,291.31506,285.15204,6.163025,286.25238,281.14838,5.104004,0.0,0.0
Cartagena,37.605122,-0.98623,287.22467,282.62033,4.6043396,291.2095,286.3948,4.8146973,299.05682,294.2817,4.775116,294.49625,290.09808,4.398163,1.3548387096774193,0.8387096774193549
Catania,37.502129,15.08719,285.84048,280.70532,5.1351624,290.36826,284.26697,6.101288,300.46005,293.75443,6.7056274,294.3789,288.8696,5.509308,15.580645161290322,5.903225806451613
Chemnitz,50.833328,12.91667,273.50195,268.82123,4.680725,284.06647,276.22073,7.8457336,293.4932,284.92737,8.565826,284.90497,278.241,6.663971,1.3225806451612903,0.8387096774193549
Chişinău,47.005562,28.8575,273.36807,267.5898,5.7782593,286.53766,277.6845,8.853149,298.72583,288.94196,9.7838745,287.45306,279.20615,8.246918,12.225806451612904,4.741935483870968
Clermont-Ferrand,45.779659,3.08628,277.42816,271.26172,6.166443,285.82385,277.1574,8.666443,294.20364,284.73593,9.467712,286.83948,279.0605,7.7789917,2.161290322580645,1.4193548387096775
Cluj-Napoca,46.76667,23.6,272.87592,266.13733,6.7385864,285.67795,276.22055,9.457397,295.77832,285.7945,9.983826,286.69305,277.56577,9.127289,2.3870967741935485,1.3548387096774193
Coimbra,40.205639,-8.41955,285.23038,278.19656,7.0338135,290.6559,282.08313,8.572784,298.8554,287.92902,10.926392,293.14288,284.4913,8.651581,17.612903225806452,5.612903225806452
Como,45.809978,9.08744,275.93652,269.2346,6.701935,286.0489,277.16376,8.885132,295.46573,286.21216,9.253571,286.83762,279.50345,7.3341675,0.5161290322580645,0.3548387096774194
Constanţa,44.183331,28.65,277.59302,273.19446,4.3985596,285.81116,280.64215,5.1690063,298.03223,292.26312,5.769104,289.60196,284.60797,4.993988,1.7096774193548387,1.096774193548387
Copenhagen,55.675941,12.56553,274.4555,271.0244,3.4310913,281.3595,275.9395,5.419983,291.77615,286.04523,5.7309265,284.0245,279.94397,4.080536,0.0,0.0
Cork,51.897968,-8.47061,281.11853,277.5918,3.5267334,284.20963,279.8596,4.3500366,289.9822,285.41815,4.5640564,286.08063,282.39047,3.690155,0.0,0.0
Coventry,52.406559,-1.51217,278.7642,273.8877,4.8764954,284.9695,277.37317,7.596344,292.28568,284.32837,7.957306,286.208,279.9184,6.289612,0.12903225806451613,0.0967741935483871
Córdoba,37.883331,-4.76667,285.74884,277.23373,8.515106,293.28635,282.67908,10.607269,305.20905,291.93954,13.269501,295.75287,285.49026,10.262604,85.16129032258064,38.806451612903224
Debrecen,47.533329,21.633329,275.23645,269.31534,5.921112,288.5741,279.35663,9.217468,299.2602,289.12784,10.132355,289.36053,280.58038,8.780151,18.774193548387096,5.516129032258065
Derby,52.922771,-1.47663,278.45123,273.70477,4.74646,284.57812,277.1403,7.4378357,291.80777,284.06915,7.738617,285.82382,279.7397,6.084137,0.06451612903225806,0.06451612903225806
Dijon,47.316669,5.01667,277.61227,272.54706,5.065216,287.11343,278.71066,8.402771,295.50272,286.42975,9.072968,287.38446,280.31375,7.070709,4.258064516129032,2.3548387096774195
Donostia / San Sebastián,43.312832,-1.97499,282.55054,278.99722,3.5533142,286.79086,282.44077,4.3500977,293.334,288.8858,4.4482117,289.6663,285.67957,3.9867249,0.12903225806451613,0.12903225806451613
Dortmund,51.514938,7.466,276.0411,271.60147,4.439636,285.3203,277.49744,7.822876,293.49017,285.27304,8.217133,285.95282,279.69406,6.2587585,2.193548387096774,1.2903225806451613
Dresden,51.050892,13.73832,273.6994,268.90604,4.7933655,284.4619,276.48892,7.972992,294.06503,285.37466,8.690369,285.25375,278.50485,6.7489014,1.6774193548387097,1.0
Dublin,53.333061,-6.24889,280.1847,276.42453,3.7601624,284.0937,278.96048,5.133209,290.24503,284.95065,5.2943726,285.8156,281.52774,4.2878723,0.0,0.0
Duisburg,51.432468,6.76516,276.91708,272.46942,4.4476624,286.07306,278.16937,7.9036865,294.13052,285.93744,8.193085,286.65277,280.3843,6.268463,2.806451612903226,1.5161290322580645
Düsseldorf,51.221722,6.77616,276.96527,272.4577,4.5075684,286.1177,278.17654,7.941162,294.16306,285.94995,8.213104,286.6904,280.37613,6.31427,2.6451612903225805,1.4516129032258065
Eastbourne,50.768711,0.28453,280.01428,277.16696,2.8473206,283.3355,279.94144,3.3940735,290.0219,286.6674,3.3545227,286.83258,283.77603,3.056549,0.0,0.0
Edinburgh,55.952061,-3.19648,277.98944,273.8803,4.109131,282.9186,277.03348,5.885132,289.43063,283.5,5.9306335,284.4239,279.64755,4.7763367,0.0,0.0
Eindhoven,51.44083,5.47778,277.43814,272.92496,4.5131836,286.18622,278.21463,7.971588,294.01108,285.78137,8.229706,286.8435,280.48734,6.3561707,2.4516129032258065,1.3548387096774193
Elche,38.26218,-0.70107,286.85724,278.9462,7.9110413,292.9698,283.7967,9.173096,301.83426,292.40073,9.433533,295.08456,286.88147,8.2030945,31.967741935483872,8.96774193548387
Erfurt,50.978699,11.03283,274.07248,269.21652,4.855957,284.40244,276.1544,8.248047,293.5775,284.69943,8.878082,285.12225,278.08783,7.034424,1.5161290322580645,0.8387096774193549
Espoo,60.2052,24.652201,269.7189,265.6305,4.0884094,277.58472,271.86594,5.7187805,290.69583,285.18344,5.51239,280.84012,277.16714,3.6729736,0.0,0.0
Essen,51.45657,7.01228,276.61774,272.1824,4.4353333,285.82776,277.96622,7.8615417,293.92596,285.73453,8.191437,286.41684,280.18173,6.2351074,2.5806451612903225,1.3870967741935485
Ferrara,44.826778,11.62071,280.24072,273.3488,6.8919373,290.86816,281.51703,9.351135,301.30557,291.17603,10.129547,292.23758,283.78528,8.452301,31.548387096774192,10.612903225806452
Firenze,43.76667,11.25,280.18494,273.44977,6.7351685,288.87888,279.65875,9.220123,299.41412,288.80408,10.610046,290.8602,282.3787,8.481506,17.129032258064516,7.225806451612903
Frankfurt am Main,50.11552,8.68417,275.68134,271.03857,4.642761,286.06036,277.71176,8.348602,294.78815,285.82974,8.958405,286.1417,279.30884,6.832855,4.064516129032258,2.225806451612903
Freiburg,47.995899,7.85222,275.60767,270.07535,5.532318,285.94595,277.39108,8.554871,294.4014,285.56277,8.838623,286.11697,278.8924,7.224579,2.4838709677419355,1.5806451612903225
Gdańsk,54.352051,18.64637,273.10815,269.4484,3.6597595,281.24017,275.48633,5.753845,292.22964,285.9949,6.234741,284.121,279.4983,4.622711,0.16129032258064516,0.0967741935483871
Gdynia,54.51889,18.531879,273.168,269.5489,3.61911,281.00922,275.41058,5.598633,292.00598,285.9448,6.0611877,284.04324,279.5397,4.50354,0.12903225806451613,0.0967741935483871
Gelsenkirchen,51.5075,7.12283,276.4587,272.03925,4.419464,285.68494,277.85052,7.8344116,293.79776,285.61655,8.181213,286.28543,280.0577,6.227722,2.3548387096774195,1.3870967741935485
Gent,51.049999,3.71667,278.10797,273.5158,4.592163,286.10593,278.4553,7.650635,293.67435,285.785,7.8893433,287.06375,280.82877,6.2349854,1.7419354838709677,1.064516129032258
Gijón,43.535728,-5.66152,283.1547,278.4017,4.7529907,286.5922,281.39026,5.201935,292.39413,287.58194,4.812195,289.32452,284.3828,4.9417114,0.0,0.0
Glasgow,55.86515,-4.25763,277.58548,273.21854,4.3669434,282.8517,276.4589,6.3928223,289.08112,282.90414,6.1769714,283.95883,279.0344,4.9244385,0.0,0.0
Granada,37.188171,-3.60667,283.24106,275.99487,7.2461853,289.19238,280.67896,8.513428,299.80527,289.72073,10.084534,292.0612,283.62402,8.437164,11.64516129032258,5.161290322580645
Graz,47.066669,15.45,273.15262,266.15305,6.9995728,284.5522,275.44403,9.108154,293.86694,284.36362,9.503326,285.00098,276.8841,8.116882,0.4838709677419355,0.3548387096774194
Grenoble,45.166672,5.71667,274.33264,267.15054,7.1820984,283.75168,274.53455,9.217133,293.2616,283.26224,9.999359,285.2948,276.54327,8.751526,0.3548387096774194,0.2903225806451613
Groningen,53.21917,6.56667,276.75537,273.04434,3.711029,283.70517,277.77417,5.9309998,291.86472,285.78302,6.0816956,285.95242,281.11728,4.835144,0.0967741935483871,0.06451612903225806
Göteborg,57.707161,11.96679,273.61005,269.47656,4.133484,281.5225,275.40036,6.1221313,291.56808,285.78635,5.7817383,283.58273,279.47568,4.1070557,0.03225806451612903,0.03225806451612903
Haarlem,52.38084,4.63683,277.84573,274.7053,3.140442,283.48035,278.9185,4.561859,291.2278,286.69113,4.536682,286.34357,282.5623,3.7812805,0.0,0.0
Hagen,51.360809,7.47168,275.8275,271.4521,4.3754272,285.15805,277.4189,7.7391357,293.30545,285.168,8.137451,285.74066,279.57657,6.164093,1.967741935483871,1.064516129032258
Hamburg,53.575321,10.01534,275.24683,270.9475,4.2993164,284.3631,276.66922,7.693878,293.3275,285.1573,8.170227,285.4828,279.5353,5.9474792,1.2258064516129032,0.7741935483870968
Hannover,52.370522,9.73322,275.412,271.01355,4.3984375,285.10223,277.1996,7.902649,293.9244,285.4447,8.479706,285.85068,279.5237,6.3269653,2.032258064516129,1.2580645161290323
Harrogate,53.99078,-1.5373,278.26083,273.4975,4.763336,284.0558,276.75372,7.302063,291.13123,283.68524,7.445984,285.49307,279.5363,5.956787,0.0,0.0
Heidelberg,49.407681,8.69079,276.23172,271.44812,4.7836,286.83188,278.43036,8.40152,295.55856,286.64218,8.916382,286.82593,279.8859,6.940033,6.032258064516129,2.7419354838709675
Helsinki,60.169521,24.93545,270.08792,266.47702,3.6109009,277.04034,272.36462,4.67572,289.9857,285.5855,4.400177,280.90213,277.76608,3.1360474,0.0,0.0
Hoofddorp,52.302502,4.68889,277.84573,274.7053,3.140442,283.48035,278.9185,4.561859,291.2278,286.69113,4.536682,286.34357,282.5623,3.7812805,0.0,0.0
Hull,53.744598,-0.33525,279.01297,274.7462,4.2667847,283.9886,277.88635,6.102234,291.1882,284.73495,6.453247,286.21432,280.835,5.3793335,0.0,0.0
Innsbruck,47.262661,11.39454,268.87296,261.87234,7.0006104,278.64005,269.90738,8.732666,288.4601,278.33582,10.124298,280.8232,271.42056,9.402649,0.0,0.0
Jerez de la Frontera,36.686451,-6.13606,287.97595,282.18552,5.790436,292.68893,286.01678,6.6721497,301.01608,292.95084,8.065247,295.4358,288.9398,6.496002,26.903225806451612,7.838709677419355
Kaliningrad,54.70649,20.51095,272.64334,268.4452,4.1981506,282.13647,275.2952,6.841278,293.2783,285.98865,7.2896423,284.12564,279.12003,5.005615,0.45161290322580644,0.2903225806451613
Karlsruhe,49.004719,8.38583,276.201,271.33994,4.8610535,286.71793,278.39658,8.32135,295.33066,286.5509,8.779755,286.7432,279.8528,6.890381,5.580645161290323,2.6774193548387095
Kassel,51.316669,9.5,274.6954,270.1304,4.5650024,284.59134,276.57327,8.018066,293.31454,284.72577,8.588776,285.14606,278.60263,6.5434265,1.5806451612903225,0.9032258064516129
Katowice,50.258419,19.02754,272.72815,267.5083,5.2198486,284.61002,276.20285,8.407166,294.7201,285.69797,9.022125,285.68973,278.3161,7.3736267,1.6774193548387097,1.064516129032258
Kaunas,54.900002,23.9,270.66632,265.7294,4.93692,282.36972,274.4301,7.9396057,294.00003,285.53375,8.466278,283.21542,277.48465,5.730774,0.5483870967741935,0.3870967741935484
Kiel,54.321331,10.13489,275.1398,271.66763,3.472168,282.38074,276.62616,5.7545776,292.12854,285.8558,6.2727356,284.6689,280.14456,4.524353,0.0,0.0
Kiev,50.454659,30.5238,270.3415,265.25104,5.090454,283.6519,276.129,7.522888,296.40915,287.81705,8.592102,284.20502,277.6325,6.57251,4.064516129032258,2.129032258064516
Košice,48.713951,21.25808,272.5385,266.21878,6.3197327,285.29163,276.25885,9.032776,295.63293,286.02963,9.603302,285.85132,277.6931,8.158203,2.903225806451613,1.5483870967741935
Kraków,50.061432,19.936581,272.31982,266.6489,5.670929,284.14838,275.65057,8.497803,294.36206,285.2548,9.107269,285.2472,277.5559,7.691284,1.2903225806451613,0.8709677419354839
Krasnodar,45.044842,38.976028,277.02383,270.04047,6.983368,288.32513,278.9843,9.34082,301.0132,290.6373,10.375916,290.42883,280.79007,9.638763,30.516129032258064,10.096774193548388
Krefeld,51.339211,6.58615,276.97266,272.5298,4.442871,286.08606,278.18216,7.9039,294.1205,285.9355,8.185028,286.67154,280.40393,6.2676086,2.7096774193548385,1.5161290322580645
Köln,50.933331,6.95,276.34116,271.92993,4.4112244,285.5348,277.71216,7.822632,293.5858,285.43958,8.14621,286.0761,279.853,6.223114,1.7741935483870968,0.967741935483871
L'viv,49.838261,24.023239,271.7731,266.55728,5.2158203,284.29352,276.08554,8.207977,295.2855,286.1617,9.123779,285.3926,278.02786,7.364746,2.4193548387096775,1.5161290322580645
La Spezia,44.110538,9.84339,280.86136,277.313,3.5483704,286.96417,282.4713,4.492859,295.82355,290.95255,4.871002,289.66,285.58557,4.0744324,0.0,0.0
Lausanne,46.515999,6.63282,274.3012,268.76465,5.53656,283.4473,275.26944,8.177856,292.40985,284.16144,8.248413,284.91647,277.99728,6.9191895,0.16129032258064516,0.16129032258064516
Le Havre,49.493801,0.10767,279.77582,276.13852,3.6372986,285.02643,279.8586,5.167816,291.90836,286.6352,5.273163,287.44803,282.97882,4.469208,0.12903225806451613,0.0967741935483871
Le Mans,48.0,0.2,279.66083,274.28003,5.3807983,287.38547,279.09845,8.287018,295.2797,286.30243,8.977264,288.3218,281.2144,7.107422,3.6129032258064515,1.967741935483871
Lecce,40.357029,18.17202,285.7328,282.32275,3.4100342,290.53308,286.0628,4.470276,300.42096,295.1854,5.235565,294.22165,290.25308,3.968567,11.709677419354838,5.225806451612903
Leeds,53.796478,-1.54785,278.292,273.5657,4.726288,284.18384,276.84735,7.336487,291.27185,283.80548,7.4663696,285.5533,279.62372,5.929596,0.0,0.0
Leicester,52.638599,-1.13169,278.7127,273.87054,4.842163,284.92917,277.35037,7.5787964,292.33313,284.35162,7.9815063,286.24606,279.9513,6.2947693,0.16129032258064516,0.16129032258064516
Leipzig,51.339619,12.37129,274.89,270.22928,4.660736,285.36972,277.32544,8.044281,294.82507,286.11053,8.714539,286.15204,279.35284,6.7991943,3.2903225806451615,1.6129032258064515
Leuven,50.879589,4.70093,277.56558,272.94717,4.618408,286.12048,278.13464,7.98584,293.79037,285.5299,8.260468,286.81924,280.36282,6.456421,2.161290322580645,1.2903225806451613
Leverkusen,51.0303,6.98432,276.59702,272.08795,4.5090637,285.8515,277.91998,7.9315186,293.90796,285.66757,8.240387,286.3678,280.05927,6.3085327,2.225806451612903,1.2580645161290323
Lille,50.632969,3.05858,278.31873,273.56882,4.7499084,286.174,278.3076,7.8664246,293.72397,285.5183,8.205658,287.1935,280.70337,6.490143,1.967741935483871,1.1290322580645162
Limoges,45.831532,1.2578,279.48056,274.20172,5.278839,287.32803,279.39407,7.93396,295.40555,286.51367,8.891876,288.35538,281.42667,6.928711,4.225806451612903,2.096774193548387
Lisbon,38.716671,-9.13333,286.9163,282.626,4.290283,290.50217,285.34604,5.156128,296.6805,290.026,6.6545105,293.12335,287.96738,5.1559753,1.0,0.7741935483870968
Liverpool,53.41058,-2.97794,279.1769,275.26028,3.916626,283.97522,278.38486,5.5903625,290.47168,285.0714,5.4002686,285.77176,281.22125,4.5505066,0.0,0.0
Livorno,43.542641,10.316,283.00836,279.06714,3.9412231,288.73987,283.9847,4.7551575,297.8511,292.90393,4.947174,291.86603,287.39154,4.4744873,0.8064516129032258,0.5483870967741935
Liège,50.633732,5.56749,276.49945,272.0262,4.473236,285.32446,277.53726,7.787201,293.06418,284.9622,8.10199,285.93365,279.6709,6.2627563,1.3225806451612903,0.7741935483870968
Ljubljana,46.051079,14.50513,274.08005,267.6566,6.423462,285.19077,276.57205,8.618713,294.76367,285.60873,9.154938,285.84604,278.4451,7.40094,0.6129032258064516,0.5161290322580645
London,51.50853,-0.12574,279.0611,274.2841,4.777008,285.35983,277.89658,7.463257,292.90448,284.97415,7.9303284,286.7823,280.47855,6.3037415,0.2903225806451613,0.22580645161290322
Lublin,51.25,22.566669,272.1953,267.02374,5.17157,284.25415,276.06674,8.187408,295.29874,286.14703,9.151703,284.9598,278.0924,6.867401,1.935483870967742,1.1290322580645162
Lucca,43.843571,10.50585,280.39905,274.94324,5.4558105,287.87228,280.83163,7.0406494,297.42758,289.76126,7.666321,290.2206,283.68036,6.5402527,2.129032258064516,1.5806451612903225
Luimneach,52.664719,-8.62306,280.4543,275.75186,4.7024536,285.06204,278.55197,6.510071,290.8135,284.34692,6.4665833,285.9241,280.76678,5.157318,0.0,0.0
Luton,51.879669,-0.41748,278.96094,274.1764,4.784546,285.2938,277.73334,7.5604553,292.84546,284.83215,8.013306,286.67123,280.32172,6.349518,0.25806451612903225,0.16129032258064516
