city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
Aachen,50.776642,6.08342,0.0034377568,0.0023805168,0.0024641077,0.0023256696,0.0002489713,6.3523716e-05,1.3345485e-08,4.4492317e-05,4.9601064,3.8800464,3.3960469,4.105701,278.19113,284.09143,293.12555,285.6992,281.00153,288.76895,298.66486,289.8026,275.4299,279.33807,287.5827,281.86444
Aberdeen,57.143688,-2.09814,0.0028282728,0.0021837994,0.0019470304,0.003155093,0.0001267533,3.9685947e-05,3.238546e-09,4.239751e-06,6.9403286,5.621184,4.4888406,5.8080072,278.99817,281.45862,288.06137,284.0626,281.10455,284.2588,291.2502,286.4159,276.71545,278.54837,284.6884,281.63132
Aix-en-Provence,43.528301,5.44973,0.0016399429,0.001423215,0.00076758076,0.0031605233,1.7677028e-05,1.2663534e-06,1.1739358e-08,4.7477697e-06,3.3258302,3.3216941,2.8275504,2.9507394,281.34164,287.0311,297.68073,289.74423,285.0092,291.563,302.8154,293.89966,278.2222,282.48065,292.22565,286.04318
Alcalá de Henares,40.482052,-3.35996,0.0013571384,0.0010429159,0.00055855594,0.0015757617,0.00014111552,4.3166452e-05,6.0287286e-09,6.889815e-05,2.3185613,2.5414715,2.4232821,2.2408576,280.6945,287.27197,299.456,289.65225,286.3053,294.19122,307.71454,296.10992,275.76703,280.22916,290.7018,283.72324
Alicante,38.345169,-0.48149,0.0008216469,0.0009162476,0.00027656014,0.0017385294,6.0531984e-06,2.556927e-06,2.7046094e-09,1.1159357e-06,2.7913551,2.66505,2.3907666,2.5397587,284.71082,290.07666,300.53918,293.4125,290.75092,296.55792,307.03714,299.36746,279.64035,283.7971,294.12338,288.26178
Almería,36.838139,-2.45974,0.00084017287,0.00055435597,0.00022749478,0.0010373956,0.00014432956,2.0494712e-05,7.184165e-10,6.3697203e-06,1.9558606,2.081948,1.9801912,1.9363854,283.17,288.7142,299.31595,291.92596,289.0996,294.7309,305.52173,297.75992,278.4088,282.59238,292.7177,286.846
Amersfoort,52.154999,5.3875,0.0032308877,0.0021642088,0.002475924,0.0025695045,0.00010969429,2.2549899e-05,5.5362674e-09,1.7839295e-05,5.0543575,4.1263,3.525383,4.082111,278.78244,284.01147,292.16345,285.46976,281.4634,288.58673,297.31808,289.386,276.08047,279.2558,286.6972,281.7558
Amiens,49.900002,2.3,0.0032634316,0.0021486403,0.0023489415,0.0024559316,0.00013694006,2.0934933e-05,1.508587e-08,1.8892299e-05,4.822024,4.0173855,3.4444337,3.9450576,279.49417,284.65692,293.29086,286.56842,281.92667,288.68747,298.05426,290.14615,277.05548,280.52417,288.35236,283.12787
Amsterdam,52.374031,4.88969,0.0035322746,0.0022981723,0.0028204585,0.0032768096,0.00012307112,2.266529e-05,9.43947e-09,1.1704435e-05,6.493846,5.2408724,4.424274,5.2872877,278.9464,283.653,291.46875,285.93304,281.0305,287.0534,295.07513,288.80035,276.78137,280.07513,287.40982,283.10843
Angers,47.466671,-0.55,0.002895282,0.0021545687,0.0015035155,0.0021290132,3.6907622e-05,5.935368e-06,6.5150196e-09,2.1679912e-06,4.2559104,3.8062584,3.1634054,3.4738965,280.27206,285.39435,294.6325,287.37012,283.34772,290.1387,300.4671,292.07477,277.2043,280.57507,288.70346,282.91675
