city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,min_t2m_winter,max_t2m_spring,min_t2m_spring,max_t2m_summer,min_t2m_summer,max_t2m_autumn,min_t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn
Tbilisi,41.75,44.75,0.00093563925,4.6663812e-05,0.0,0.0004987787,271.23495,281.98663,293.34473,283.62592,275.6612,267.40857,288.5997,273.2348,297.3987,289.88248,290.46466,271.5299,0.0014623747,0.003238014,0.0022036023,0.0017753425,1.9135596,2.1233761,2.0584004,1.8711361
Tbilisi,41.75,44.75,0.00093563925,4.6663812e-05,0.0,0.0004987787,271.23495,281.98663,293.34473,283.62592,275.6612,267.40857,288.5997,273.2348,297.3987,289.88248,290.46466,271.5299,0.0014623747,0.003238014,0.0022036023,0.0017753425,1.9135596,2.1233761,2.0584004,1.8711361
Vatican City,42.0,12.5,4.3634132e-05,8.339352e-06,0.0,2.2462562e-05,280.68643,286.08386,295.97687,289.00494,282.98807,277.5574,291.48093,281.13464,299.0863,292.24362,294.505,283.141,0.001962478,0.0022487289,0.0017038769,0.0045789047,2.7081695,2.5928948,2.2055097,2.5916066
Vatican City,42.0,12.5,4.3634132e-05,8.339352e-06,0.0,2.2462562e-05,280.68643,286.08386,295.97687,289.00494,282.98807,277.5574,291.48093,281.13464,299.0863,292.24362,294.505,283.141,0.001962478,0.0022487289,0.0017038769,0.0045789047,2.7081695,2.5928948,2.2055097,2.5916066
Rome,42.0,12.5,4.3634132e-05,8.339352e-06,0.0,2.2462562e-05,280.68643,286.08386,295.97687,289.00494,282.98807,277.5574,291.48093,281.13464,299.0863,292.24362,294.505,283.141,0.001962478,0.0022487289,0.0017038769,0.0045789047,2.7081695,2.5928948,2.2055097,2.5916066
Rome,42.0,12.5,4.3634132e-05,8.339352e-06,0.0,2.2462562e-05,280.68643,286.08386,295.97687,289.00494,282.98807,277.5574,291.48093,281.13464,299.0863,292.24362,294.505,283.141,0.001962478,0.0022487289,0.0017038769,0.0045789047,2.7081695,2.5928948,2.2055097,2.5916066
Skopje,42.0,21.5,0.0008210359,7.798496e-05,0.0,0.00065261085,274.38715,283.59366,294.3641,284.85248,278.1353,271.07324,289.9915,275.5398,297.23334,291.85104,294.39478,275.3673,0.0016267353,0.0021075637,0.0012714103,0.0019877045,1.7141646,1.8672048,1.7529668,1.6652305
Skopje,42.0,21.5,0.0008210359,7.798496e-05,0.0,0.00065261085,274.38715,283.59366,294.3641,284.85248,278.1353,271.07324,289.9915,275.5398,297.23334,291.85104,294.39478,275.3673,0.0016267353,0.0021075637,0.0012714103,0.0019877045,1.7141646,1.8672048,1.7529668,1.6652305
Andorra la Vella,42.5,1.5,0.0012690491,0.0007242671,3.8229096e-05,0.00096895784,272.65125,278.58905,288.07672,280.4667,277.2135,268.69473,283.88132,274.8131,291.2678,282.54593,286.4834,272.38315,0.0019253165,0.0037432776,0.00295988,0.0027079298,1.7689507,1.8197511,1.5917301,1.6567471
Andorra la Vella,42.5,1.5,0.0012690491,0.0007242671,3.8229096e-05,0.00096895784,272.65125,278.58905,288.07672,280.4667,277.2135,268.69473,283.88132,274.8131,291.2678,282.54593,286.4834,272.38315,0.0019253165,0.0037432776,0.00295988,0.0027079298,1.7689507,1.8197511,1.5917301,1.6567471
Podgorica,42.5,19.25,0.0012525788,0.0002884141,7.947286e-08,0.0005983052,275.84128,282.83792,293.3445,285.27573,278.71716,272.44128,289.19708,275.9621,296.4098,290.09476,292.2077,277.27267,0.0042825486,0.004562258,0.0031131392,0.008208882,1.9478217,1.8547338,1.6224782,1.7903101
