city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,min_t2m_winter,max_t2m_spring,min_t2m_spring,max_t2m_summer,min_t2m_summer,max_t2m_autumn,min_t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn
Nicosia,35.25,33.25,7.2867783e-06,0.0,0.0,4.273874e-07,284.6373,289.86414,299.29807,293.6876,286.43805,282.32504,294.64832,285.88,301.55054,296.75577,298.53958,287.43155,0.0022562556,0.00073410315,9.918213e-05,0.00192532,3.5474546,3.3041406,3.2097266,2.860397
North Nicosia,35.25,33.25,7.2867783e-06,0.0,0.0,4.273874e-07,284.6373,289.86414,299.29807,293.6876,286.43805,282.32504,294.64832,285.88,301.55054,296.75577,298.53958,287.43155,0.0022562556,0.00073410315,9.918213e-05,0.00192532,3.5474546,3.3041406,3.2097266,2.860397
Valletta,36.0,14.5,0.0,0.0,0.0,0.0,287.42725,288.70905,296.62704,293.71564,289.16937,286.02795,291.62308,285.7717,299.91843,293.338,297.83255,289.2971,0.002026021,0.00044317954,0.00039561943,0.0020962646,7.2763195,6.5455856,4.5394397,5.7776017
Gibraltar,36.25,-5.25,4.3533464e-06,0.0,0.0,3.0182025e-06,285.85037,287.6579,294.54218,291.21277,287.70624,284.41626,290.20587,285.401,296.97943,291.25836,295.3137,286.79352,0.0029730867,0.0015176067,0.0004219055,0.0031200056,5.231414,5.068507,4.403036,4.809238
Athens,38.0,23.75,5.983953e-05,0.0,0.0,1.5122802e-05,282.9854,288.4266,298.3594,291.01584,285.7937,281.02234,294.05984,282.97202,300.4518,296.25085,297.09576,285.39996,0.0020196915,0.0007994193,0.00041299043,0.0016738256,3.3359005,2.86567,2.8928308,3.1458282
Lisbon,38.75,-9.25,3.7617153e-07,0.0,0.0,2.2958826e-08,285.32385,286.81168,292.02838,290.03992,287.7273,283.02847,289.3402,284.7268,293.96793,288.7252,294.4845,286.10233,0.002814314,0.001290558,0.00034048295,0.0025379073,5.7088933,5.5869575,5.5342083,4.8764644
Ankara,40.0,32.75,0.0006718883,2.6014115e-05,1.2044553e-06,0.00032191808,273.26892,283.24466,293.99362,284.93695,278.09332,268.2483,288.401,276.5842,296.68213,290.71896,291.83752,276.49002,0.0018978684,0.001659909,0.00045685237,0.0015800899,2.1048515,2.3389404,2.446407,2.1560142
Yerevan,40.25,44.5,0.0011689822,0.00038366317,5.8809917e-07,0.00067177345,267.8645,280.12244,292.17236,282.19644,272.85513,260.89868,286.9755,271.28574,294.8722,287.40485,291.54575,271.20566,0.0015944693,0.0035309757,0.0019495434,0.00144689,1.7458904,1.7632874,1.9543245,1.7160784
Madrid,40.5,-3.75,0.00022463799,2.044572e-05,1.05963815e-08,0.00011324706,278.33347,283.98953,294.9952,286.5422,280.9391,274.76178,290.2975,278.13083,298.25336,290.36072,295.1735,279.1403,0.001806623,0.0018814935,0.00088414084,0.0019195309,2.5294228,2.609063,2.3890774,2.2533867
Tirana,41.25,19.75,0.0002498362,1.0475405e-05,0.0,0.00010185242,280.4529,286.2526,295.04068,288.2046,283.36575,278.37054,291.33533,280.57092,297.5838,292.97162,294.47726,281.28842,0.004219002,0.0031125033,0.002421372,0.004824091,2.8008537,2.3250017,2.0226052,2.3816228
