latitude,longitude,sf_jan,sf_feb,sf_mar,sf_apr,sf_may,sf_jun,sf_jul,sf_aug,sf_sep,sf_oct,sf_nov,sf_dec,t2m_jan,t2m_feb,t2m_mar,t2m_apr,t2m_may,t2m_jun,t2m_jul,t2m_aug,t2m_sep,t2m_oct,t2m_nov,t2m_dec,tp_jan,tp_feb,tp_mar,tp_apr,tp_may,tp_jun,tp_jul,tp_aug,tp_sep,tp_oct,tp_nov,tp_dec,si10_jan,si10_feb,si10_mar,si10_apr,si10_may,si10_jun,si10_jul,si10_aug,si10_sep,si10_oct,si10_nov,si10_dec
35.25,33.25,2.60093e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4679067e-07,1.9073487e-07,284.90762,285.92117,288.2658,291.61188,295.88184,299.5702,302.78122,303.02402,300.27335,295.77853,290.88327,286.75577,0.0018812526,0.0012100394,0.0011496111,0.0013608065,0.0003790422,3.7800182e-05,0.00010663813,0.0004648729,0.0012972571,0.0012286793,0.0019963004,0.0022624969,2.5364976,2.6005714,2.7092638,2.473005,2.5614111,2.7657506,2.6493933,2.5950851,2.5060918,2.2212903,2.1553488,2.236704
35.25,33.25,2.60093e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4679067e-07,1.9073487e-07,284.90762,285.92117,288.2658,291.61188,295.88184,299.5702,302.78122,303.02402,300.27335,295.77853,290.88327,286.75577,0.0018812526,0.0012100394,0.0011496111,0.0013608065,0.0003790422,3.7800182e-05,0.00010663813,0.0004648729,0.0012972571,0.0012286793,0.0019963004,0.0022624969,2.5364976,2.6005714,2.7092638,2.473005,2.5614111,2.7657506,2.6493933,2.5950851,2.5060918,2.2212903,2.1553488,2.236704
36.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.38135,287.0096,287.7072,289.39243,291.80887,295.50842,298.47723,299.51105,298.02725,295.49515,292.43085,289.13733,0.0021946647,0.0012817383,0.0003413287,0.00024327365,5.9301205e-05,1.6992743e-05,0.00011478771,0.0009481257,0.0023348548,0.0031407962,0.002133803,0.0016033172,7.445078,7.2920666,6.9692073,6.171736,5.8765745,4.587439,4.0815887,3.7577715,4.894031,5.5591145,6.4583054,7.2845335
36.25,-5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.51328,286.37643,287.4329,288.88318,291.26874,293.8351,296.25583,297.0828,295.2199,292.6686,289.28772,287.6006,0.0025668577,0.003370285,0.0021382244,0.00071213464,0.00012415106,3.0690975e-05,0.00025402417,0.000980724,0.0022146918,0.004064907,0.002497673,0.0023683547,5.0753827,5.494415,5.6168675,5.3103185,4.9469757,4.83775,4.600343,4.6074696,4.5287967,4.373834,4.895583,5.0641637
38.0,23.75,2.1761114e-05,8.669767e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2815067e-05,5.5217744e-05,282.08322,283.70438,285.70135,289.20367,293.84668,298.412,301.21426,301.09024,297.27,291.94897,287.9168,283.79358,0.00230295,0.0016000922,0.0010639537,0.0008709647,0.0008505041,0.00018067793,0.0001296997,0.00064138934,0.0009923414,0.0013067072,0.0020119927,0.0016328811,2.94621,2.986247,2.8666236,2.7337916,2.5454311,2.5717697,2.8458154,3.2374191,2.7444842,2.7071524,2.7840555,2.828146
38.75,-9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.14093,285.09998,286.3512,287.99985,290.27744,292.0487,293.46426,294.04248,293.3275,291.4156,287.8046,285.91415,0.00205985,0.002275727,0.0020604567,0.0015300404,0.00034991177,0.00010611794,0.000116868454,0.00093026593,0.0023959766,0.003321561,0.002195445,0.0019481659,4.8256044,5.134085,4.984477,4.669383,4.98009,5.0796266,5.539641,5.2114735,4.3624263,4.195323,4.6960316,4.5250344
40.0,32.75,0.00046508963,0.00027001987,5.5053017e-05,0.0,0.0,0.0,0.0,0.0,8.669767e-08,3.5762787e-05,0.0005096089,0.0010373115,273.9252,276.61844,279.68503,284.2683,289.03186,293.1778,297.1633,297.15808,293.00754,286.0436,279.52832,275.3749,0.0017127991,0.0018900958,0.0012086522,0.0018473539,0.001451319,0.00017582286,0.00034575028,0.0004194433,0.0011096434,0.0009408431,0.0018090334,0.0022603988,2.24162,2.4725974,2.5794477,2.522721,2.3696055,2.3057008,2.6106415,2.528457,2.3192577,2.0744288,2.0048473,2.0563953
40.25,44.5,0.00097430835,0.0006313324,0.00019446286,5.20186e-07,0.0,0.0,0.0,0.0,1.9702044e-05,0.00021917169,0.0007703088,0.0010251045,269.4648,271.20813,277.08362,282.3546,287.73428,293.40915,296.8492,296.3967,291.81595,284.2812,276.5885,271.35095,0.0012904081,0.0017700195,0.00212574,0.0015125275,0.0005207062,0.00025038284,0.0002670288,0.00021778453,0.0007631995,0.000754183,0.0011859373,0.0012299537,1.6060555,1.6510643,1.9232198,1.9639941,1.9376098,2.173066,2.3113694,2.3267968,2.0552974,1.7306787,1.5232022,1.5026622
40.5,-3.75,7.6987526e-05,5.8911064e-05,4.0747905e-06,0.0,0.0,0.0,0.0,0.0,4.3348834e-08,6.242232e-06,7.239255e-06,4.8732756e-05,278.82257,280.13904,283.0902,286.4883,290.83887,296.0466,299.8636,299.0993,294.44345,288.61517,282.811,279.5132,0.0012202696,0.001802878,0.0019707247,0.0009828047,0.00051203644,0.00027257745,0.00029945374,0.0008023002,0.0018959913,0.0020907142,0.0012304132,0.0012273788,2.3274024,2.6983385,2.7475052,2.5608957,2.487459,2.4646585,2.4456468,2.3900514,2.1813183,2.1162655,2.332928,2.0583484
40.5,45.0,0.0016144839,0.0023971905,0.0019473596,0.00011017106,0.0,0.0,0.0,3.7279997e-06,0.0004541007,0.0009531108,0.0013044097,0.001427412,267.14023,268.05612,272.45685,276.9732,282.49442,286.52936,288.84015,288.7126,285.84705,280.4186,273.9541,269.32663,0.0016468222,0.0029648,0.004194693,0.0051472406,0.0050305454,0.0038462551,0.0027512638,0.002197439,0.0023212433,0.0013848218,0.0013933182,0.0014401436,2.337612,2.1049216,2.119287,1.8543084,1.735994,1.570882,1.7940799,1.7797443,1.5825745,1.7118577,1.8048073,2.247646
