city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
Aachen,50.776642,6.08342,0.003291537,0.002194435,0.0029549971,0.0024819854,0.0004816818,8.0759e-05,2.1800965e-08,6.40052e-05,4.57374,3.6139493,3.3305378,3.954327,276.61462,282.9227,290.56046,284.02936,279.45566,287.71054,295.3615,287.9317,273.8151,277.9578,285.6096,280.29907
Aberdeen,57.143688,-2.09814,0.0026542286,0.0017066246,0.002098205,0.002644144,0.0003099272,8.883021e-05,2.9649943e-08,2.2706496e-05,6.481605,5.3113184,4.6301513,6.1704683,277.41223,280.56738,286.45798,282.54236,279.48224,283.43158,289.4146,285.04337,275.20047,277.51523,283.35074,279.9827
Aix-en-Provence,43.528301,5.44973,0.002143361,0.001964807,0.0008247541,0.0027257025,3.3902546e-05,3.0591393e-06,1.8200479e-09,9.3649705e-06,3.1972785,3.4344838,3.3168864,3.132878,280.6488,285.96124,295.24658,288.80743,284.47458,290.47,300.30164,293.04755,277.40442,281.4074,289.8499,285.14322
Alcalá de Henares,40.482052,-3.35996,0.0015360143,0.0014836767,0.00065718475,0.0015256337,0.0001117891,3.9789764e-05,2.770454e-06,5.0105e-05,2.4668677,2.4574168,2.279674,2.040966,280.22928,285.56195,296.59454,288.53818,285.45508,291.81192,304.01056,294.8891,275.5909,279.1045,288.49356,282.52124
Alicante,38.345169,-0.48149,0.0012310658,0.0012584712,0.00039338274,0.0018968392,1.1109401e-05,5.9252397e-06,9.695269e-10,2.6063117e-06,2.9110572,2.734507,2.2942376,2.4149008,284.3413,288.2978,298.1612,292.09692,290.1299,294.20306,304.2356,297.9361,279.45056,282.4823,292.10306,286.9591
Almería,36.838139,-2.45974,0.001505379,0.0009871811,0.000249065,0.00136117,0.00017156616,5.5052846e-05,2.3131981e-10,6.811292e-06,2.070017,2.1781316,1.846637,1.8301309,282.77344,286.9438,296.9924,290.69098,288.3935,292.3763,302.97964,296.37558,278.1996,281.38818,290.5617,285.6951
Amersfoort,52.154999,5.3875,0.003014301,0.0018874398,0.0032066319,0.0025293953,0.0002532543,2.6145508e-05,5.828539e-09,1.8380864e-05,4.6600394,3.8499398,3.523304,4.0745234,277.15512,282.84442,290.00836,283.79465,279.84863,287.52332,294.68124,287.6722,274.45844,277.82452,284.97122,280.03998
Amiens,49.900002,2.3,0.0033680329,0.0021341057,0.0027388064,0.0024132687,0.0002291724,2.6736932e-05,7.4339375e-09,8.185107e-06,4.5317698,3.7937107,3.4358687,3.867103,278.23868,283.54913,290.73206,285.12122,280.6658,287.6135,294.9519,288.6089,275.79642,279.2954,286.2574,281.633
Amsterdam,52.374031,4.88969,0.0032997064,0.001953912,0.0035970814,0.003080802,0.00023580749,2.7132697e-05,1.0515367e-08,1.7576998e-05,6.0401735,4.9047475,4.4813943,5.3696594,277.36176,282.45953,289.61566,284.27667,279.50006,285.92163,292.96085,287.20993,275.14783,278.66086,285.8185,281.34113
Angers,47.466671,-0.55,0.0030684562,0.0020025943,0.0014169831,0.0019991458,8.127668e-05,1.2571756e-05,5.4041993e-09,6.8085825e-07,4.1834774,3.6487663,3.233144,3.3604145,279.32373,284.45557,291.86636,286.08685,282.57727,289.32513,297.18927,290.64728,276.20706,279.46216,286.2061,281.74704
