city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
Aachen,50.776642,6.08342,0.0029354102,0.0025098033,0.0026257853,0.0026278454,0.00032195268,5.959998e-05,1.2566464e-08,4.428697e-05,4.24083,3.6730886,3.1564448,4.00815,276.8841,283.34222,292.14203,285.28394,279.68497,287.8814,297.356,289.37772,274.09833,278.63892,286.84882,281.5376
Aberdeen,57.143688,-2.09814,0.002692149,0.0021697786,0.001859013,0.0032595329,0.00024385496,5.1611052e-05,4.7829753e-09,4.3612736e-06,6.257395,5.3760633,4.395757,6.00811,278.147,280.82794,287.52368,283.5439,280.20407,283.6624,290.66852,285.95407,275.91232,277.816,284.23856,281.05267
Aix-en-Provence,43.528301,5.44973,0.0022726664,0.0021990861,0.000852488,0.0034968022,1.2499053e-05,1.441746e-06,1.7383535e-09,2.836086e-06,3.4388611,3.543991,3.0149696,3.1783185,280.6239,286.17853,296.53766,289.42816,284.35214,290.6262,301.54718,293.58627,277.43784,281.6643,291.2735,285.72168
Alcalá de Henares,40.482052,-3.35996,0.0017933998,0.0013912108,0.00072996784,0.0016830269,0.00023475332,4.8543217e-05,6.149267e-09,2.2903381e-05,2.1199417,2.5427454,2.2687924,2.1209862,280.02908,286.2933,297.91235,289.17358,285.11087,292.65753,305.47263,295.27496,275.53342,279.72946,289.73633,283.4563
Alicante,38.345169,-0.48149,0.0011947346,0.001099281,0.00046487176,0.0019837297,8.873454e-06,1.5637397e-06,2.4114186e-09,1.4735837e-06,2.8219657,2.756518,2.2720187,2.3013623,284.2977,289.0282,299.00122,292.7459,289.96558,295.0158,305.14993,298.5774,279.50626,283.18585,292.94656,287.68735
Almería,36.838139,-2.45974,0.0012200198,0.0008334842,0.00033243702,0.0010204562,9.816833e-05,1.7339831e-05,3.4020306e-10,2.2658898e-05,1.9800389,2.1809313,1.9099792,1.8155254,282.77426,287.79086,298.0966,291.4066,288.25558,293.33725,304.09064,297.11542,278.36765,282.13492,291.69296,286.32758
Amersfoort,52.154999,5.3875,0.0026948808,0.00226414,0.0021395222,0.0028785663,0.00012967264,1.0031603e-05,4.1976884e-09,4.548858e-06,4.3653626,3.9099636,3.4560676,4.172821,277.50235,283.3192,291.58218,285.14243,280.10236,287.78302,296.62787,289.19827,274.81595,278.5697,286.17294,281.39096
Amiens,49.900002,2.3,0.0025195803,0.0023084956,0.002233422,0.0026909981,0.00013916247,5.299012e-06,6.1052043e-09,1.0432161e-06,4.284367,3.8793132,3.327315,3.9719748,278.34085,284.06375,292.27094,286.22195,280.70364,287.90717,296.90613,289.8951,275.9474,280.0346,287.39795,282.7081
Amsterdam,52.374031,4.88969,0.0028964332,0.0023312783,0.0022693851,0.0036381825,0.00016884632,7.4294176e-06,3.450447e-09,1.3375775e-06,5.671338,4.999768,4.4348745,5.512616,277.60583,282.9476,290.99347,285.5664,279.6665,286.2723,294.57416,288.6192,275.41745,279.37704,286.94135,282.62653
Angers,47.466671,-0.55,0.0024288604,0.002225117,0.0016217742,0.0025305762,4.8453992e-05,5.485077e-07,6.9830923e-09,5.7124385e-08,3.7938263,3.739856,3.106982,3.5451896,279.3214,284.8468,293.52582,287.1257,282.34198,289.51117,299.1523,291.73895,276.2714,280.01733,287.6836,282.76093
Antwerpen,51.219891,4.40346,0.0025408543,0.0021079932,0.0023254203,0.0026520698,0.00010107786,6.4443498e-06,7.091554e-09,7.871078e-07,4.2010484,3.7636921,3.3152974,3.9958522,278.08337,283.89896,292.3758,285.773,280.74344,288.21466,297.23798,289.71866,275.37033,279.36703,287.3132,282.13565
Apeldoorn,52.209999,5.96944,0.0027278299,0.002317632,0.0023216202,0.002932579,0.00014625449,9.659117e-06,2.1469861e-09,2.195941e-06,4.2451334,3.869416,3.3912406,4.12558,277.42712,283.23843,291.4249,285.04868,279.9215,287.6634,296.4107,289.0012,274.85577,278.53326,286.04324,281.35822
Arezzo,43.461391,11.87691,0.0026529918,0.0022201487,0.0014260587,0.0030477468,0.0004695724,6.7066e-05,7.4489095e-09,6.5344815e-05,2.134642,2.2770905,1.8103216,2.0337834,277.28333,283.4319,294.69638,286.59238,280.2804,287.51596,299.77948,290.47208,274.55618,279.4079,289.6555,283.10367
Arnhem,51.98,5.91111,0.0026817091,0.0022358098,0.0022466069,0.002722822,0.00013773648,1.1893214e-05,6.086718e-09,1.7049939e-06,4.1223617,3.7112114,3.270375,3.96064,277.55243,283.40472,291.73746,285.20456,280.09543,287.88443,296.85727,289.22052,274.95514,278.67548,286.3465,281.49005
Athens,37.97945,23.716221,0.002255627,0.0011841377,0.00027018663,0.0017498421,5.273621e-05,1.515769e-05,8.534121e-10,8.172519e-06,2.7289646,2.562626,2.5238497,2.5165281,282.5681,287.94717,300.06644,291.9241,286.25217,292.84042,305.6723,296.71246,279.03445,283.16617,294.17282,287.54132
Augsburg,48.366669,10.88333,0.0021366526,0.002341863,0.0035001568,0.0023149191,0.000587835,0.00014997073,1.841921e-08,9.9472956e-05,2.991168,2.8760076,2.267008,2.5905323,274.2793,282.76584,292.74548,283.8692,277.22754,287.77017,298.39676,288.3979,271.40964,277.84772,287.3808,279.9126
