city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
Bari,41.117729,16.851179,0.0027606532,0.0015582438,0.00061033113,0.0022159105,5.7767225e-05,3.7254085e-06,1.876145e-09,1.5406246e-06,3.8874502,3.530494,2.884736,3.1306002,281.63065,287.32675,298.2499,290.93304,285.25134,291.86517,303.59695,295.3566,278.18433,282.89606,292.66092,287.02744
Basel,47.558399,7.57327,0.0031622136,0.0034373454,0.0032738592,0.003042096,0.0009542534,0.00035470637,4.5657045e-05,0.00010519114,2.1492207,2.2101045,1.8467743,1.8794391,274.0964,282.44684,292.1502,284.18497,276.89676,287.14273,297.71436,288.3416,271.43753,277.8477,286.69067,280.5733
Bath,51.377949,-2.35907,0.0024125746,0.0027294843,0.001964509,0.002457311,0.00012224236,8.499819e-05,4.018795e-09,1.16432475e-05,4.392786,4.3737574,3.647575,4.0258536,277.66995,281.8117,290.10626,284.81656,280.41486,285.7968,294.65106,288.30096,274.75168,277.7333,285.37964,281.2152
Belfast,54.583328,-5.93333,0.0029861825,0.0029521522,0.0024450007,0.003440773,9.7406e-05,8.070831e-05,5.1998925e-09,7.3824294e-06,5.2843738,4.897162,3.894767,4.9892206,278.22354,280.69556,287.97516,283.8448,280.70685,284.20416,291.83112,286.83716,275.64746,277.11627,284.06128,280.82758
Belgrade,44.804008,20.46513,0.0016399027,0.0022480115,0.0022208204,0.00182409,0.00054544205,7.594549e-05,1.06274936e-08,4.8167e-05,2.754115,2.8435805,2.373036,2.6782901,274.99445,285.6899,296.92328,287.09354,277.98358,290.48712,302.77356,291.86783,271.8254,280.8671,291.02673,282.7963
Bergamo,45.697979,9.66895,0.0016614837,0.0029877394,0.0032053557,0.0033383842,0.0003009037,9.861041e-05,4.7408394e-06,2.8434355e-05,1.4355999,1.6869789,1.4802213,1.4291536,275.75333,285.40134,295.87955,286.72394,279.50754,290.3047,301.12192,290.9887,272.64023,280.61087,290.81836,282.88586
Bergen,60.39299,5.32415,0.009433919,0.0049866796,0.0058275633,0.0101083685,0.0046760757,0.0019791224,3.4847866e-07,0.0008105546,3.1177924,2.7652504,2.5855842,3.1519513,274.63025,278.61346,287.18713,281.41193,276.18158,281.50574,290.22113,283.53558,272.71667,275.1697,283.5694,278.99942
Berlin,52.524368,13.41053,0.0015690363,0.0017695272,0.001977447,0.0014518402,0.00028653166,5.5905875e-05,7.533517e-09,6.141766e-05,3.7359953,3.3280225,3.1432328,3.5357616,275.04153,283.062,292.6629,284.18423,277.35355,287.56604,297.95184,287.96536,272.5824,278.39682,287.10522,280.55032
Bern,46.94809,7.44744,0.003427162,0.0041218223,0.0043346193,0.003618224,0.0017816897,0.001185388,9.5484706e-05,0.00042148735,1.8150834,1.8440145,1.5655084,1.6020496,273.0465,280.87897,290.68588,282.92023,275.90097,285.25476,295.91623,286.82413,270.29715,276.48663,285.49063,279.4647
Besançon,47.248779,6.01815,0.0030797436,0.0037570924,0.0030270633,0.0035180927,0.0005371447,0.00022039558,2.4391822e-05,5.751109e-05,3.0470412,3.0199287,2.4660473,2.6744454,274.83438,283.0428,292.70853,284.92102,277.7916,287.73608,298.4354,289.33893,271.9864,278.3257,287.0367,281.03
