city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
Mariehamn,60.0,20.0,0.0028179702,0.0011825518,0.002001734,0.0023440376,0.001360259,0.00031170275,1.3118956e-09,6.755989e-05,7.6910186,6.0176125,5.534154,7.133649,273.8339,277.58575,288.6609,281.2707,275.28992,279.19608,290.28955,282.72433,272.25616,275.784,286.6319,279.7869
Tirana,41.25,19.75,0.0031918925,0.0025738445,0.0012463868,0.0032391227,0.00011554027,5.655993e-05,1.284096e-09,1.4382957e-05,2.1888144,1.8601818,1.6311566,1.9030987,280.49353,286.99243,297.23822,290.04584,284.89575,292.2721,303.75952,295.85724,276.59625,281.60132,290.26117,285.09314
Andorra la Vella,42.5,1.5,0.0019766109,0.0022352338,0.0023775364,0.0023051049,0.0009932097,0.0004859515,2.8996976e-07,0.0002829769,1.7947388,1.7662475,1.4903879,1.512234,275.98022,280.98828,290.95883,284.29785,280.08612,285.96622,296.72958,289.09256,272.33868,275.72714,284.86853,279.77423
Yerevan,40.25,44.5,0.0013706305,0.0026985207,0.0012726444,0.0011192814,0.0011515459,0.00060764875,1.9267012e-09,0.00022234546,1.3414677,1.4773918,1.7004423,1.3821752,268.81586,280.68732,294.0692,283.58844,273.65283,286.25446,301.42157,290.461,264.4789,275.0706,287.0006,277.53003
Vienna,48.25,16.25,0.0018257154,0.002055008,0.002707492,0.0019522696,0.0006502314,0.00012108067,6.23889e-09,0.0001027103,3.4671822,3.3280067,2.9779382,3.3035898,275.4667,284.7985,294.48666,284.3214,277.55328,289.54114,299.5942,288.17673,273.1247,279.87994,289.2705,280.69418
Minsk,54.0,27.5,0.0014205897,0.0014808981,0.0031930194,0.0018675926,0.0009327835,0.00022193365,1.3768901e-08,0.00020954799,5.082501,4.0210896,3.537784,4.3067484,270.5749,281.6745,291.95956,280.7893,272.4533,286.22284,296.7835,284.029,268.21893,276.49414,286.37598,277.39697
Brussels,50.75,4.25,0.002837156,0.002679803,0.0027681775,0.0025630419,9.554184e-05,2.57664e-05,8.831043e-09,1.9107441e-05,4.75494,3.9795508,3.429524,4.097797,278.19547,283.92465,291.70746,284.55505,280.93365,288.1485,296.4918,288.29974,275.43506,279.53284,286.6466,280.9159
Sarajevo,43.75,18.5,0.002839149,0.0030374173,0.002692563,0.00318766,0.0013512385,0.00053086004,7.80427e-09,0.00028148195,1.7863443,1.8837123,1.4907532,1.6842397,273.5732,281.4157,291.78433,283.38516,276.54987,286.07404,297.50784,288.27292,270.46283,276.73712,286.10492,279.02136
Sofia,42.75,23.25,0.0013664156,0.0024257468,0.0025055632,0.0017077083,0.0009369333,0.00046828284,1.821745e-07,0.00023622808,1.7895298,1.9101943,1.712959,1.7635316,273.61356,283.2898,293.5835,284.78592,276.94452,288.34625,299.25323,290.1555,270.4873,278.1753,287.89954,280.02835
Zagreb,45.75,16.0,0.002674964,0.00238628,0.0029743009,0.0029580393,0.0003949049,0.0001673485,6.673961e-09,9.644949e-05,2.1387873,2.2344935,1.783434,2.0776706,276.23105,285.67102,295.2374,285.75168,278.92657,290.72424,300.6733,290.1105,273.50763,280.6669,289.85568,281.73663
Nicosia,35.25,33.25,0.0028905575,0.0012496884,0.00015569772,0.0010858036,8.16152e-07,5.701385e-09,0.0,0.0,2.4002209,2.3340485,2.1746738,2.0121179,285.5015,291.23352,302.1474,295.48083,290.8115,297.4924,309.2868,302.41443,281.43463,285.53833,295.3912,290.09174
