city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,max_t2m_winter,min_t2m_winter,temp_range_winter,max_t2m_spring,min_t2m_spring,temp_range_spring,max_t2m_summer,min_t2m_summer,temp_range_summer,max_t2m_autumn,min_t2m_autumn,temp_range_autumn,hot_days,hot_days_consec
Aachen,50.776642,6.08342,0.00060068513,3.9232033e-05,6.4091017e-09,0.00025471713,274.22504,281.4795,289.19217,282.7377,0.0022540537,0.0023512694,0.0023914955,0.0022479633,4.3462524,3.7549188,3.441127,3.9066172,276.31467,271.89395,4.4207153,285.1883,277.5166,7.671692,293.05185,285.06857,7.9832764,285.83505,279.67465,6.1604004,1.3548387096774193,0.7741935483870968
Aberdeen,57.143688,-2.09814,0.00044186495,3.2594126e-05,0.0,8.598018e-05,277.1689,279.73547,285.77548,282.71252,0.0020591244,0.0018310015,0.0022926473,0.0024389054,6.649121,5.5433207,4.620767,6.038412,278.59735,275.7436,2.8537598,281.46152,277.92258,3.5389404,287.44998,283.97882,3.471161,284.231,281.1601,3.0708923,0.0,0.0
Aix-en-Provence,43.528301,5.44973,0.00012101388,7.028648e-07,0.0,3.891927e-05,278.5405,285.54474,294.89127,287.5873,0.0018558323,0.00154536,0.0012520736,0.0026837087,4.2833543,4.1705484,3.889686,3.8807075,282.08875,275.29337,6.7953796,289.62628,281.36343,8.262848,299.40625,290.16623,9.240021,291.5434,283.942,7.60141,9.96774193548387,4.419354838709677
Alcalá de Henares,40.482052,-3.35996,0.00020967034,6.2364825e-06,0.0,8.241335e-05,277.32727,284.38162,295.3316,286.44388,0.0018879282,0.0014751111,0.00062421913,0.0019352249,2.6554475,2.7271893,2.4691637,2.3762898,281.4177,273.61734,7.800354,289.63766,278.9233,10.714355,301.57245,288.45715,13.115295,291.5546,281.5368,10.017792,41.61290322580645,14.419354838709678
Alicante,38.345169,-0.48149,5.2488194e-05,7.4856166e-06,0.0,1.6804452e-05,282.9381,287.88943,296.55975,290.83194,0.0010479949,0.00094643293,0.0005154285,0.0015561726,3.7336888,3.4348588,3.0421376,3.1547303,286.28226,280.0142,6.2680664,291.48026,284.3813,7.0989685,300.2726,292.93314,7.3394775,294.25198,287.80475,6.447235,10.774193548387096,3.903225806451613
Almería,36.838139,-2.45974,0.000100275094,1.2732962e-05,0.0,5.6305664e-05,282.79117,287.29105,295.75272,290.14896,0.0011895506,0.0010206007,0.00034856112,0.0014288315,4.032262,4.067474,3.574453,3.6313267,285.47656,280.41083,5.065735,290.16144,284.339,5.8224487,298.87134,292.45334,6.4179993,292.9832,287.54788,5.4353027,2.129032258064516,1.4838709677419355
Amersfoort,52.154999,5.3875,0.0003024859,5.898937e-06,0.0,8.879105e-05,275.28424,281.79028,289.5581,283.64154,0.0018090548,0.0019332747,0.0023909525,0.002034179,4.5779033,4.1517906,3.8084972,4.1486964,277.2899,273.0454,4.2444763,285.32544,278.07645,7.248993,293.15244,285.68912,7.463318,286.52518,280.7657,5.759491,1.4193548387096775,0.935483870967742
Amiens,49.900002,2.3,0.00024177854,7.0270994e-06,0.0,6.838319e-05,275.97495,282.2663,289.64066,283.7858,0.0017468878,0.0018749257,0.0018676366,0.0019149146,4.289715,3.927684,3.564818,3.860757,278.30624,273.4558,4.8504333,286.1693,278.1795,7.989807,293.75107,285.28476,8.466309,287.15225,280.49475,6.657501,1.8064516129032255,1.0
Amsterdam,52.374031,4.88969,0.0002878491,4.6352225e-06,0.0,6.8985646e-05,275.9746,281.4066,289.19745,284.16956,0.0018250141,0.0017437928,0.002542752,0.0023629055,5.6961603,4.997022,4.628968,5.200035,277.64667,274.14676,3.4999084,284.05804,278.6264,5.4316406,291.84265,286.35263,5.4900208,286.37546,281.95477,4.420685,0.1290322580645161,0.1290322580645161
Angers,47.466671,-0.55,9.933551e-05,5.4007364e-07,0.0,2.9632052e-05,277.66525,283.72787,291.3146,285.26987,0.0018909285,0.0017698768,0.001433422,0.0019964052,3.982317,3.693874,3.3065715,3.4956064,280.42966,274.82202,5.6076355,287.8534,279.51614,8.33725,295.8053,286.66806,9.137238,289.0008,281.71747,7.283325,4.193548387096774,2.096774193548387
Antwerpen,51.219891,4.40346,0.0002549575,5.098654e-06,0.0,6.887904e-05,275.75186,282.3883,289.96164,283.90576,0.0017905576,0.0018861251,0.0021155744,0.0019150241,4.3310504,3.91983,3.6177382,3.932096,277.90237,273.36227,4.5401,286.1222,278.45422,7.6679688,293.79,285.89767,7.892334,287.01584,280.81467,6.201172,2.129032258064516,1.3225806451612905
