latitude,longitude,sf_jan,sf_feb,sf_mar,sf_apr,sf_may,sf_jun,sf_jul,sf_aug,sf_sep,sf_oct,sf_nov,sf_dec,t2m_jan,t2m_feb,t2m_mar,t2m_apr,t2m_may,t2m_jun,t2m_jul,t2m_aug,t2m_sep,t2m_oct,t2m_nov,t2m_dec,tp_jan,tp_feb,tp_mar,tp_apr,tp_may,tp_jun,tp_jul,tp_aug,tp_sep,tp_oct,tp_nov,tp_dec,si10_jan,si10_feb,si10_mar,si10_apr,si10_may,si10_jun,si10_jul,si10_aug,si10_sep,si10_oct,si10_nov,si10_dec
35.25,33.25,3.33786e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.41107,284.99054,287.89996,291.21133,295.6145,300.3656,303.12836,302.6033,299.29193,295.33624,290.21188,286.1409,0.001844883,0.0010421753,0.00093431474,0.00075073243,0.00014705658,6.389618e-05,8.792877e-05,0.0005214691,0.0011890412,0.0012607574,0.0018384934,0.0020560264,2.5200236,2.7268012,2.5960703,2.681213,2.5785403,2.698814,2.686101,2.536061,2.4429188,2.1430597,2.263597,2.3854887
35.25,33.25,3.33786e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.41107,284.99054,287.89996,291.21133,295.6145,300.3656,303.12836,302.6033,299.29193,295.33624,290.21188,286.1409,0.001844883,0.0010421753,0.00093431474,0.00075073243,0.00014705658,6.389618e-05,8.792877e-05,0.0005214691,0.0011890412,0.0012607574,0.0018384934,0.0020560264,2.5200236,2.7268012,2.5960703,2.681213,2.5785403,2.698814,2.686101,2.536061,2.4429188,2.1430597,2.263597,2.3854887
36.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.1458,286.4837,287.574,288.9787,292.0897,295.68338,298.53204,299.11346,297.43997,295.23352,292.0154,288.92078,0.0018838883,0.0009860039,0.0006977081,0.00012073517,0.00014362336,1.2397766e-05,0.00011978149,0.0011253357,0.0016057969,0.0020565032,0.0029709816,0.002190113,6.8741736,7.3732123,6.8578134,6.5615835,5.3801513,4.408775,4.255876,4.2729263,5.0834703,5.0893,6.623851,7.535782
36.25,-5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.14017,286.5288,287.68085,288.6793,290.85904,293.90643,296.0168,296.28415,294.56595,292.24506,288.91815,287.02078,0.0030165673,0.0023838044,0.001982975,0.00079803466,9.555816e-05,6.198883e-05,0.00010414123,0.001450348,0.0028827668,0.0028486252,0.004861927,0.002793026,5.0703654,5.4009714,5.234498,5.175549,4.882837,4.851866,4.7688646,4.5859632,4.551073,4.409344,4.761449,5.4124904
38.0,23.75,0.00016326904,6.7710876e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.720688e-05,0.00020308494,281.86398,282.19678,285.40973,288.4461,293.84946,298.78162,301.22443,300.67673,296.1755,292.10736,287.224,283.4036,0.0015547753,0.0014606476,0.001072979,0.0006149292,0.00017261505,0.00021724701,0.00018424988,0.0007205963,0.00091514585,0.0017711639,0.0021331788,0.0020176887,2.8888469,3.0024114,2.8539317,2.6481075,2.4826906,2.6807475,2.9242845,2.9777603,2.5597157,2.6911798,2.540184,2.8742094
38.75,-9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2915343e-07,284.66223,285.30264,286.7912,287.59335,289.71548,292.5906,293.46545,294.16345,293.26535,291.18762,287.58572,285.38385,0.0019871711,0.0017650605,0.0020106316,0.0009626389,0.0004842758,0.00012454987,0.00021781921,0.0011329651,0.002986145,0.0028274537,0.0030797005,0.0023382187,4.4231486,4.3733835,4.6669197,4.924621,4.83313,4.986607,5.513982,5.1593523,4.102172,4.3679867,4.608739,5.015469
40.0,32.75,0.0008741856,0.00026545525,5.1927567e-05,0.0,0.0,0.0,0.0,0.0,8.153916e-06,0.0002105236,0.0004896164,0.00069909095,272.706,274.5919,279.50134,283.92618,288.92758,293.5246,297.1551,297.15564,291.59445,286.12668,279.39255,274.5618,0.0018657685,0.0015805245,0.0019309998,0.0011343003,0.00059185026,0.00030841827,0.00022659302,0.0005678177,0.0006414413,0.0016290664,0.0018590927,0.0017281532,2.2232218,2.4980414,2.756666,2.5213008,2.3852296,2.5735943,2.6770678,2.5943131,2.25974,2.1964045,2.0960433,2.0089507
40.25,44.5,0.0010760308,0.0007266045,0.00023941994,5.6266786e-06,0.0,0.0,0.0,4.4345857e-06,1.66893e-06,0.00031638145,0.0008595943,0.00088305474,267.3179,270.57062,276.35486,281.89883,286.886,292.42557,295.90082,296.00662,291.1562,284.64603,276.52594,270.13678,0.0012784958,0.0018843651,0.0023260117,0.0012645721,0.00066337583,0.000406456,0.0002687454,0.00034542085,0.0006542206,0.001038742,0.0011332512,0.0010357857,1.6034708,1.6820745,1.8273691,1.9323361,1.9785402,2.157896,2.2077806,2.2027602,2.027123,1.7182795,1.563768,1.5489897
40.5,-3.75,0.00014538765,3.3473967e-05,6.198883e-07,2.9087066e-06,0.0,0.0,0.0,0.0,0.0,3.671646e-06,7.4625015e-05,8.0919264e-05,278.49603,280.20636,283.53513,285.77383,290.24225,296.50916,298.64612,298.2248,293.94894,288.35284,282.1781,278.90106,0.0014130592,0.001346302,0.0016432762,0.001452446,0.00041179656,0.000116157535,0.00029792785,0.0007305145,0.002373314,0.0017414093,0.0015849114,0.0012405396,2.2004678,2.2080512,2.5860362,2.6305783,2.3023195,2.4232526,2.5310717,2.4381118,2.1478748,2.3736506,2.3798568,2.2386382
40.5,45.0,0.0016520023,0.002534151,0.002040863,0.00040230752,1.6212464e-06,0.0,0.0,9.57489e-05,0.0003319502,0.0012897492,0.0013716221,0.0011357784,265.59387,266.9948,271.51678,276.22598,281.0975,285.43436,288.11194,288.64606,285.41183,280.8105,273.90643,268.16022,0.0016616822,0.0028962134,0.004005909,0.0048574447,0.0044794083,0.0038879395,0.0033597946,0.0026540756,0.0024425506,0.0017763138,0.0013943672,0.0011431694,2.228422,2.2399359,2.126124,1.8750607,1.6514895,1.6396345,1.768474,1.7157974,1.6075184,1.6857111,1.9535385,2.1265776
41.25,19.75,0.00013241768,8.869171e-05,1.783371e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.2438505e-06,3.9482118e-05,6.1941144e-05,279.17923,280.05792,283.42322,286.75977,291.3946,295.06735,297.492,297.31854,292.94543,289.2546,284.56326,280.54364,0.0036286353,0.004306221,0.0033233643,0.0021240234,0.0019290925,0.0011888504,0.0011697769,0.0031812668,0.0033010482,0.0039850236,0.0047796248,0.004564953,2.4592814,2.3959417,2.3471446,2.006457,1.8130617,1.8270369,1.8826342,1.8197525,1.8925282,1.9531915,2.3302474,2.60856
41.75,44.75,0.00079426763,0.00054831506,0.00029797555,0.0,0.0,0.0,0.0,0.0,7.1525574e-07,0.00016264916,0.00073876383,0.0007176876,270.65326,273.29794,277.56442,282.28693,286.9643,291.24216,294.82697,295.1988,290.46967,284.8638,278.3158,272.66492,0.0011881829,0.0020386695,0.003999996,0.0039001466,0.0027738572,0.001338768,0.0016160965,0.002022171,0.0026691437,0.0014335632,0.0011157036,0.0009490013,1.9082559,2.083979,2.2583017,2.1325803,2.1801515,2.3251324,2.0499194,1.9686782,1.9419178,1.7585627,1.7791733,1.8256499
42.0,12.5,1.9454956e-05,1.859665e-06,3.33786e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.2397766e-06,1.1444092e-06,2.374649e-05,279.97025,280.76865,283.80096,286.77655,291.72192,295.90057,298.31506,298.2025,293.697,289.988,285.14432,281.1999,0.0023941994,0.0025535584,0.0026712418,0.0017530441,0.0009410858,0.0007909775,0.0008358002,0.0024620057,0.0032241822,0.0039058686,0.0037233352,0.0027194023,2.4170694,2.5019965,2.5368662,2.4216914,2.1121829,2.1277936,2.2355638,2.1401627,2.2241445,2.1380792,2.564525,2.6187406
42.0,12.5,1.9454956e-05,1.859665e-06,3.33786e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.2397766e-06,1.1444092e-06,2.374649e-05,279.97025,280.76865,283.80096,286.77655,291.72192,295.90057,298.31506,298.2025,293.697,289.988,285.14432,281.1999,0.0023941994,0.0025535584,0.0026712418,0.0017530441,0.0009410858,0.0007909775,0.0008358002,0.0024620057,0.0032241822,0.0039058686,0.0037233352,0.0027194023,2.4170694,2.5019965,2.5368662,2.4216914,2.1121829,2.1277936,2.2355638,2.1401627,2.2241445,2.1380792,2.564525,2.6187406
42.0,21.5,0.00045838355,0.00044546128,9.684563e-05,0.0,0.0,0.0,0.0,0.0,3.74794e-05,0.0003153324,0.00082736014,0.00077385904,274.6173,276.56476,280.9156,285.57364,291.1434,294.86053,297.50763,296.99802,291.32318,286.4173,280.34314,275.73914,0.0013095855,0.0017810821,0.0019895553,0.0015405655,0.0017095566,0.0008834839,0.0010652542,0.0012472153,0.0019750595,0.0017168045,0.0024941445,0.0017875672,1.7000529,1.8982369,1.9503428,1.8648068,1.7198,1.6952498,1.8089037,1.6828873,1.6840808,1.549554,1.5898911,1.6373198
42.5,1.5,0.0017762661,0.0018303394,0.0022459507,0.00078120234,0.00029468536,3.4332274e-06,1.0967254e-06,4.4751167e-05,0.0006325006,0.0015478134,0.0018087387,0.0022978783,270.48215,271.18896,273.94568,276.1369,281.37524,286.26404,287.94318,287.6402,283.99994,280.13058,273.7949,270.66687,0.0019594193,0.002366066,0.0036345483,0.003574562,0.0026979446,0.0026824952,0.00224514,0.0022518157,0.0023828507,0.0024225235,0.0021846772,0.0026592254,1.868632,1.8512642,1.952125,1.9086056,1.807593,1.7585799,1.7089525,1.6616958,1.6182117,1.795965,1.8899399,1.8640287
42.5,19.25,0.0008822441,0.0007631302,0.00012235642,0.0,0.0,0.0,0.0,0.0,1.9073487e-07,0.00017552376,0.00064702035,0.0009664536,275.69232,276.61026,280.6148,284.87833,289.97055,293.3736,295.77716,295.55603,290.3476,286.5058,281.17615,277.32,0.006591988,0.0067622187,0.004761696,0.0028533936,0.002375984,0.0014118195,0.001849556,0.0063890456,0.006624794,0.009291267,0.009457111,0.0075639724,1.8793497,1.9433053,1.8812265,1.6345822,1.5431887,1.4943707,1.5200365,1.5062759,1.5947009,1.5758723,1.7717025,1.9503081
42.75,21.25,0.0007730007,0.0007523537,0.00014252662,0.0,0.0,0.0,0.0,0.0,0.00011134148,0.000509882,0.00095467566,0.0008928776,273.4255,275.16278,279.52557,283.98007,289.16782,292.53708,294.9473,294.73376,289.0335,284.75385,279.14313,274.4827,0.0014731407,0.0020153045,0.0023641586,0.0022960664,0.0022665025,0.0016143799,0.0016357421,0.0017328262,0.0017671585,0.0017326355,0.001999855,0.0016041755,2.3379679,2.6031682,2.7662852,2.4765255,2.1572511,2.007066,2.1528,1.9952896,2.089745,2.1182795,2.3233628,2.4259672
