city,latitude,longitude,hot_days,hot_days_consec,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn,temp_range_winter,temp_range_spring,temp_range_summer,temp_range_autumn
Augsburg,48.366669,10.88333,23.4,7.233333333333333,0.0018957395,0.0022395568,0.0032551384,0.0021328449,0.00057843217,0.00014511716,3.4474464e-08,7.313888e-05,3.2489166,2.9224613,2.453908,2.6857693,274.58813,283.0497,293.2699,284.25424,277.49115,288.19482,299.17728,288.7572,271.79453,278.09598,287.6073,280.3339,5.6966248,10.098846,11.569977,8.423309
Avignon,43.948341,4.80892,47.9,21.2,0.0019585795,0.0018452395,0.0010855253,0.0034751154,0.000102178004,1.5962192e-05,6.4257755e-08,3.525499e-05,3.3465106,3.4448254,3.1750684,3.0866508,279.7427,286.13382,296.81018,288.75568,283.55798,291.15643,302.67734,293.2682,276.5107,281.22763,290.88812,284.7892,7.0472717,9.9288025,11.789215,8.478973
Barcelona,41.38879,2.15899,45.63333333333333,19.2,0.0013653752,0.0015566603,0.0013369042,0.0025471079,3.375697e-05,1.1752721e-05,2.3002138e-09,2.2863271e-06,2.2713604,2.3120644,2.0482433,1.9455913,282.0308,287.02582,297.23303,290.48172,286.5961,291.94885,302.23297,295.20053,278.26907,282.31433,292.36298,286.47504,8.327026,9.6345215,9.869995,8.725494
Bari,41.117729,16.851179,76.03333333333333,35.7,0.0022089109,0.0013796743,0.00069603586,0.0021518157,3.5898192e-05,4.988775e-06,2.2011788e-09,5.742497e-07,3.8472095,3.4327562,2.8448427,3.119103,282.42245,287.97418,299.27948,291.6831,285.98795,292.64963,304.7677,296.2741,279.05276,283.4193,293.59067,287.65555,6.9351807,9.230316,11.177032,8.618561
Basel,47.558399,7.57327,18.366666666666667,6.3,0.003401998,0.0031968025,0.0031737727,0.0031067326,0.00077014277,0.00024805297,3.1448348e-05,0.00010959576,2.301217,2.1996245,1.8348897,1.9486346,275.52072,283.25867,293.0304,284.74698,278.1973,288.04025,298.80133,288.91586,273.04056,278.68936,287.41696,281.15527,5.1567383,9.350891,11.384369,7.7605896
Bath,51.377949,-2.35907,2.066666666666667,1.5333333333333334,0.0027947181,0.0025181428,0.001974063,0.0027963207,0.00013697968,4.754449e-05,4.794227e-09,8.549387e-06,4.7239366,4.3988547,3.6588683,4.147248,278.42923,282.4904,290.54333,284.95114,281.1637,286.55988,295.18295,288.3906,275.52652,278.33252,285.74448,281.46066,5.6371765,8.227356,9.438477,6.9299316
Belfast,54.583328,-5.93333,0.0,0.0,0.0033835282,0.0029478623,0.0025804935,0.003502031,0.00011558684,4.956225e-05,6.6680994e-09,1.4745572e-05,5.659285,4.9157896,3.9366143,5.0174146,278.62714,281.40558,288.27783,283.96677,281.17084,284.9453,292.21042,286.9891,275.99832,277.80566,284.31342,280.93124,5.172516,7.1396484,7.897003,6.0578613
Belgrade,44.804008,20.46513,67.43333333333334,22.9,0.001408835,0.0019987156,0.002096877,0.0018643915,0.00034009514,6.2981606e-05,1.1002153e-08,4.732696e-05,2.778502,2.8092952,2.4040627,2.7474432,276.33945,286.58682,298.16364,287.89658,279.47845,291.6654,304.25906,292.8164,273.17175,281.49863,292.00555,283.49872,6.3067017,10.166779,12.2535095,9.317688
Bergamo,45.697979,9.66895,43.233333333333334,15.533333333333333,0.0019400584,0.0026405102,0.0029275378,0.0034321777,0.00027189674,9.133147e-05,7.5709477e-06,2.573188e-05,1.4726617,1.6904453,1.4857903,1.4266969,276.93057,286.10977,296.88992,287.33054,280.48535,291.14682,302.32828,291.6531,273.99518,281.22012,291.64413,283.4921,6.4901733,9.926697,10.684143,8.161011
Bergen,60.39299,5.32415,0.0,0.0,0.01045579,0.006122165,0.0056089787,0.009859665,0.004429558,0.0018219718,6.550216e-07,0.0008157453,3.2729614,2.847586,2.5657134,3.1096327,275.74292,279.44305,287.8309,281.91272,277.2618,282.30807,290.88818,284.07925,273.87164,276.04086,284.1693,279.49698,3.3901672,6.267212,6.718872,4.5822754
