city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,min_t2m_winter,max_t2m_spring,min_t2m_spring,max_t2m_summer,min_t2m_summer,max_t2m_autumn,min_t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn
Nicosia,35.25,33.25,4.07464e-06,0.0,0.0,1.7339534e-06,285.96613,291.3413,301.0273,295.56433,288.72534,283.82532,297.1432,285.9025,303.61316,297.22763,301.43018,287.99353,0.002115412,0.00076011376,0.00013830526,0.0017930138,3.443216,3.2551057,3.2336376,2.9633741
Nicosia,35.25,33.25,4.07464e-06,0.0,0.0,1.7339534e-06,285.96613,291.3413,301.0273,295.56433,288.72534,283.82532,297.1432,285.9025,303.61316,297.22763,301.43018,287.99353,0.002115412,0.00076011376,0.00013830526,0.0017930138,3.443216,3.2551057,3.2336376,2.9633741
North Nicosia,35.25,33.25,4.07464e-06,0.0,0.0,1.7339534e-06,285.96613,291.3413,301.0273,295.56433,288.72534,283.82532,297.1432,285.9025,303.61316,297.22763,301.43018,287.99353,0.002115412,0.00076011376,0.00013830526,0.0017930138,3.443216,3.2551057,3.2336376,2.9633741
North Nicosia,35.25,33.25,4.07464e-06,0.0,0.0,1.7339534e-06,285.96613,291.3413,301.0273,295.56433,288.72534,283.82532,297.1432,285.9025,303.61316,297.22763,301.43018,287.99353,0.002115412,0.00076011376,0.00013830526,0.0017930138,3.443216,3.2551057,3.2336376,2.9633741
Valletta,36.0,14.5,0.0,0.0,0.0,0.0,287.86545,289.63773,297.81943,295.33545,289.76105,285.21783,292.81165,287.1977,300.36487,294.40558,298.82037,291.6225,0.0017021894,0.00022056529,0.00036223567,0.0025199093,7.3268404,6.33028,4.1263466,5.6242323
Valletta,36.0,14.5,0.0,0.0,0.0,0.0,287.86545,289.63773,297.81943,295.33545,289.76105,285.21783,292.81165,287.1977,300.36487,294.40558,298.82037,291.6225,0.0017021894,0.00022056529,0.00036223567,0.0025199093,7.3268404,6.33028,4.1263466,5.6242323
Gibraltar,36.25,-5.25,2.7318797e-06,0.0,0.0,1.2362445e-07,286.26044,288.96744,295.87598,292.12372,288.22662,283.9878,292.2859,286.4731,298.71518,292.7225,295.72256,287.89526,0.002708263,0.0010666606,0.0004124497,0.0028112906,5.077185,5.1673584,4.514835,4.46632
Gibraltar,36.25,-5.25,2.7318797e-06,0.0,0.0,1.2362445e-07,286.26044,288.96744,295.87598,292.12372,288.22662,283.9878,292.2859,286.4731,298.71518,292.7225,295.72256,287.89526,0.002708263,0.0010666606,0.0004124497,0.0028112906,5.077185,5.1673584,4.514835,4.46632
Athens,38.0,23.75,3.9297673e-05,0.0,0.0,1.1301201e-05,283.62714,289.4896,299.76352,292.57687,286.35397,280.13303,295.2151,284.24896,302.18542,296.27515,298.0057,284.87805,0.0019724998,0.0008849263,0.00037596605,0.0015657407,3.3541195,2.9840581,3.159006,3.1195524
Athens,38.0,23.75,3.9297673e-05,0.0,0.0,1.1301201e-05,283.62714,289.4896,299.76352,292.57687,286.35397,280.13303,295.2151,284.24896,302.18542,296.27515,298.0057,284.87805,0.0019724998,0.0008849263,0.00037596605,0.0015657407,3.3541195,2.9840581,3.159006,3.1195524
Lisbon,38.75,-9.25,3.3113693e-08,0.0,0.0,0.0,285.70276,288.17462,292.81253,290.79068,287.91693,283.827,291.81906,285.47723,294.6611,290.54688,293.9653,287.17175,0.0021791093,0.0012900227,0.00037035314,0.002695244,5.37838,5.3095593,5.5345387,4.806559
Lisbon,38.75,-9.25,3.3113693e-08,0.0,0.0,0.0,285.70276,288.17462,292.81253,290.79068,287.91693,283.827,291.81906,285.47723,294.6611,290.54688,293.9653,287.17175,0.0021791093,0.0012900227,0.00037035314,0.002695244,5.37838,5.3095593,5.5345387,4.806559
Ankara,40.0,32.75,0.00063622993,1.9262134e-05,0.0,0.00020340075,275.16428,284.197,295.62976,286.07098,279.36392,270.16748,291.0827,275.48236,299.59406,290.54663,295.30496,274.78888,0.0019776325,0.0016071595,0.00033135203,0.0013168701,2.1646812,2.4119017,2.417117,2.0645196
Ankara,40.0,32.75,0.00063622993,1.9262134e-05,0.0,0.00020340075,275.16428,284.197,295.62976,286.07098,279.36392,270.16748,291.0827,275.48236,299.59406,290.54663,295.30496,274.78888,0.0019776325,0.0016071595,0.00033135203,0.0013168701,2.1646812,2.4119017,2.417117,2.0645196
Yerevan,40.25,44.5,0.0012471494,0.00033033497,3.5963475e-07,0.000547576,270.1516,281.4168,293.88174,283.34692,274.69345,263.68555,287.8747,271.27643,297.0692,290.7277,292.32898,271.51175,0.0019211902,0.0033405896,0.0017073853,0.0014308551,1.7441609,1.8648679,1.9999875,1.6811647
Yerevan,40.25,44.5,0.0012471494,0.00033033497,3.5963475e-07,0.000547576,270.1516,281.4168,293.88174,283.34692,274.69345,263.68555,287.8747,271.27643,297.0692,290.7277,292.32898,271.51175,0.0019211902,0.0033405896,0.0017073853,0.0014308551,1.7441609,1.8648679,1.9999875,1.6811647
Madrid,40.5,-3.75,0.00020783146,2.1761114e-05,0.0,3.148008e-05,278.90482,286.0113,297.52695,287.9701,282.19586,277.06155,291.90613,280.7184,301.4439,293.2706,296.06512,280.43845,0.0016913911,0.0014350004,0.0005680239,0.001900901,2.483411,2.6924539,2.4802015,2.2975326
Madrid,40.5,-3.75,0.00020783146,2.1761114e-05,0.0,3.148008e-05,278.90482,286.0113,297.52695,287.9701,282.19586,277.06155,291.90613,280.7184,301.4439,293.2706,296.06512,280.43845,0.0016913911,0.0014350004,0.0005680239,0.001900901,2.483411,2.6924539,2.4802015,2.2975326
Tirana,41.25,19.75,0.00021186139,7.0144833e-06,0.0,4.5314784e-05,280.5304,287.25912,296.77917,289.81894,284.4347,276.80273,292.69376,282.81287,299.11752,293.62097,296.122,283.07578,0.0043491786,0.0029913522,0.0019127817,0.0047514173,2.7750533,2.3406947,1.9958979,2.2853165
Tirana,41.25,19.75,0.00021186139,7.0144833e-06,0.0,4.5314784e-05,280.5304,287.25912,296.77917,289.81894,284.4347,276.80273,292.69376,282.81287,299.11752,293.62097,296.122,283.07578,0.0043491786,0.0029913522,0.0019127817,0.0047514173,2.7750533,2.3406947,1.9958979,2.2853165
