city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,max_t2m_winter,min_t2m_winter,temp_range_winter,max_t2m_spring,min_t2m_spring,temp_range_spring,max_t2m_summer,min_t2m_summer,temp_range_summer,max_t2m_autumn,min_t2m_autumn,temp_range_autumn,hot_days,hot_days_consec
Augsburg,48.366669,10.88333,0.0006706904,6.646335e-05,6.6238067e-07,0.0004027308,274.31396,282.38345,291.3135,282.51514,0.0022118764,0.003175995,0.0032430592,0.0023387196,3.3000238,2.9522583,2.4424317,2.6982083,277.01105,271.86542,5.14563,286.95758,277.92728,9.030304,296.1639,286.53946,9.624451,286.35394,279.23883,7.1151123,6.870967741935484,3.064516129032258
Avignon,43.948341,4.80892,7.637278e-05,2.224439e-06,0.0,2.4121615e-05,280.11575,287.08862,296.7866,288.41095,0.0017204387,0.0018662028,0.0016138951,0.002877786,3.9128625,3.8366265,3.5977707,3.6831415,284.23175,276.71704,7.5147095,291.9677,282.30054,9.667175,302.24118,291.2542,10.986969,293.0553,284.4235,8.631805,42.67741935483871,14.225806451612904
Barcelona,41.38879,2.15899,3.557532e-05,1.3715477e-07,0.0,1.0332433e-05,282.7218,287.06137,295.9334,290.41156,0.0014612386,0.0017070892,0.0019697451,0.00229183,3.579199,3.4345453,2.8854196,3.301437,285.6707,280.20166,5.4690247,289.87213,284.2412,5.6309204,298.5733,293.2076,5.365692,293.03598,287.95413,5.081848,2.225806451612903,1.6451612903225807
Bari,41.117729,16.851179,2.7354366e-05,9.0720835e-07,0.0,7.895693e-06,283.42224,287.92206,297.9511,291.36456,0.0020388141,0.0012474932,0.0010521591,0.002274444,4.7512646,4.253382,3.7283542,4.0560045,285.48828,281.5399,3.9483948,290.39978,285.47623,4.9235535,300.57678,295.21478,5.3619995,293.72787,289.20535,4.522522,17.967741935483872,6.548387096774194
Basel,47.558399,7.57327,0.00075007416,8.5764834e-05,8.460014e-08,0.00044136262,275.01782,282.7343,291.53674,283.05212,0.0030375277,0.0038483418,0.003725716,0.0033195787,2.541783,2.3550284,1.9628116,2.105095,277.78433,272.57214,5.2121887,287.26175,278.33398,8.927765,296.40326,286.7598,9.643463,286.96228,279.78387,7.178406,7.451612903225806,3.419354838709677
Bath,51.377949,-2.35907,0.000103396436,7.1499935e-06,0.0,3.0228208e-05,278.65878,282.53156,289.38474,284.45575,0.00218961,0.0022262924,0.0022335385,0.0026331986,4.7546,4.1696677,3.725754,4.172436,281.05945,276.2337,4.8257446,286.08307,278.87793,7.205139,293.13577,285.43365,7.702118,287.5373,281.3616,6.1756897,0.5483870967741935,0.4516129032258064
Belfast,54.583328,-5.93333,0.00012065134,4.089007e-06,0.0,2.598378e-05,279.34778,281.6466,287.2295,284.2134,0.0027899318,0.0024809504,0.0029662463,0.003496811,6.366514,5.2049546,4.4500465,5.7093315,280.97418,277.77713,3.197052,283.6617,279.56165,4.100067,289.23083,285.16946,4.061371,285.9425,282.46478,3.4777222,0.0,0.0
Belgrade,44.804008,20.46513,0.00044040996,1.3972696e-05,0.0,0.00022777605,275.75214,286.2022,296.26538,286.25006,0.0017019728,0.0022979868,0.0020039466,0.0017516391,2.9407961,2.9724934,2.4823916,2.9133902,278.94986,272.70026,6.2496033,291.28754,281.03247,10.255066,302.02386,290.41013,11.613739,291.1674,281.95923,9.20816,44.516129032258064,10.935483870967742
Bergamo,45.697979,9.66895,0.0006668385,0.00010482983,1.5875345e-06,0.00038426922,275.7167,284.72778,294.52338,285.42642,0.0023466202,0.004363479,0.0043856404,0.0039350004,1.6140587,1.7438089,1.5754019,1.5478567,279.55975,272.62244,6.937317,289.0386,280.3758,8.662811,298.97253,290.03632,8.936218,289.09818,282.18976,6.9084167,10.064516129032258,5.032258064516129
Bergen,60.39299,5.32415,0.0025906528,0.0003076218,3.8162993e-06,0.0010185897,274.61508,278.7494,286.74915,281.35574,0.0076180524,0.004485145,0.0069618993,0.009179593,4.7073665,3.8493454,3.446554,4.2860494,276.1817,272.98337,3.1983337,280.92764,276.30847,4.619171,288.852,284.3822,4.4697876,283.0893,279.5682,3.5210876,0.0,0.0
Berlin,52.524368,13.41053,0.00035335217,7.4503673e-06,0.0,0.0001613878,274.82684,282.65088,291.9782,283.28015,0.0017308702,0.001786009,0.0022056454,0.001697577,3.9831316,3.475429,3.085752,3.473944,276.99835,272.64938,4.3489685,286.89532,278.1532,8.742126,296.62378,286.96393,9.659851,286.68433,280.04404,6.6402893,9.03225806451613,3.129032258064516
Bern,46.94809,7.44744,0.001962626,0.0005642533,7.607203e-05,0.0013313118,272.46225,280.28387,289.2546,281.05325,0.0036026188,0.0048127067,0.004886118,0.003860007,2.0385547,1.8969278,1.6222575,1.7377715,275.608,269.68356,5.9244385,284.62866,275.95682,8.6718445,293.91385,284.5731,9.340759,285.08392,277.63422,7.449707,1.1612903225806452,0.7096774193548387
Besançon,47.248779,6.01815,0.00057025737,4.3906333e-05,8.830318e-09,0.0003282605,276.5233,283.8575,292.6131,284.46997,0.0035425366,0.003553222,0.002994494,0.0038868997,3.3815289,3.0058253,2.5068967,2.8714066,279.24152,273.9793,5.262207,288.37387,279.37552,8.998352,297.69586,287.4759,10.219971,288.4441,281.01407,7.430023,13.161290322580646,4.903225806451613
Bielefeld,52.033329,8.53333,0.00036868796,1.7717606e-05,0.0,0.00017983625,275.9677,282.60474,290.98355,283.58316,0.002513873,0.0021954984,0.0025500453,0.002501539,4.3091836,3.5124755,3.132088,3.6667814,278.10303,273.85977,4.2432556,286.6541,278.30536,8.348755,295.46033,286.16336,9.296967,286.90076,280.44366,6.4570923,6.709677419354839,3.161290322580645
Bilbao,43.262711,-2.92528,0.00016296508,5.013413e-06,0.0,3.628278e-05,281.85437,285.17676,291.76694,288.05347,0.0037177803,0.0028104337,0.002102587,0.0040001804,4.179284,3.6110432,2.9285808,3.6103463,284.3682,279.6226,4.7456055,288.00787,282.34927,5.6586,294.73657,288.9124,5.8241577,290.93652,285.4708,5.4657288,0.9032258064516128,0.5806451612903226
Birmingham,52.481419,-1.89983,0.00016079795,1.3076063e-05,0.0,5.8166017e-05,278.16895,282.249,289.26996,284.02847,0.0019201984,0.0021662584,0.0022025672,0.0023312217,4.762558,4.164808,3.7257724,4.2280726,280.52435,275.84415,4.6802063,285.908,278.52985,7.3781433,293.16663,285.227,7.939636,287.08398,281.005,6.0789795,0.7096774193548387,0.4516129032258064
Blackpool,53.816669,-3.05,0.00014346678,9.250417e-06,0.0,3.7303857e-05,279.04172,281.80756,288.2695,284.7024,0.0036406228,0.002737401,0.0037648974,0.004819066,6.851559,5.502283,4.9907503,6.2147865,280.40442,277.72964,2.6747742,283.6023,279.93063,3.6716614,289.92175,286.51227,3.4094849,286.18073,283.17856,3.0021667,0.0,0.0
Bochum,51.481651,7.21648,0.0003412798,1.5875486e-05,0.0,0.00018313025,276.35706,282.95804,291.04654,283.84564,0.002889738,0.00246541,0.0029744566,0.0028874534,4.412212,3.579623,3.1490943,3.7583914,278.52267,274.23596,4.2867126,286.9306,278.77933,8.151276,295.37363,286.47943,8.894196,287.0833,280.8245,6.2588196,6.193548387096774,2.903225806451613
Bologna,44.493809,11.33875,0.0004019763,1.03684315e-05,0.0,0.00015199847,277.99255,286.68048,297.29953,287.87943,0.0021324772,0.002729325,0.002274838,0.0027807245,2.067541,2.3693602,2.042879,2.0528977,281.6184,274.97238,6.6460266,291.3189,282.22693,9.09198,302.4539,292.2224,10.231476,292.04886,284.26083,7.788025,45.67741935483871,13.387096774193548
Bonn,50.734379,7.09548,0.00037962006,2.358528e-05,0.0,0.00020763672,276.06863,282.77417,290.9702,283.59366,0.0026929933,0.002405846,0.0027430083,0.0027875695,4.058241,3.3471577,2.8922222,3.4734025,278.2131,274.00842,4.2046814,286.74646,278.6886,8.057861,295.30035,286.46033,8.840027,286.8052,280.66144,6.1437683,6.0,2.806451612903226
Bordeaux,44.840439,-0.5805,1.878732e-05,8.011377e-09,0.0,3.785536e-06,280.55923,286.38672,294.19925,287.81866,0.0022507329,0.0024103823,0.0017570347,0.0026432981,3.282583,3.1572669,2.7104363,2.946356,283.98956,277.53986,6.449707,290.97354,281.89554,9.078003,299.21072,289.19626,10.014465,292.38223,283.88324,8.498993,20.870967741935484,5.387096774193548
Bournemouth,50.720482,-1.8795,5.7335823e-05,3.1844688e-06,0.0,1.4216243e-05,279.9123,282.78415,289.46133,285.7807,0.0023987738,0.0019673898,0.0021143095,0.0033215082,6.3362775,5.195719,4.66963,5.6350565,281.60712,278.19217,3.4149475,285.08356,280.3657,4.717865,291.84296,286.92184,4.921112,287.7584,283.71167,4.0467224,0.0,0.0
Bradford,53.793911,-1.75206,0.00037628494,3.726736e-05,0.0,0.000114839706,277.30872,281.10968,287.86804,283.00516,0.002611273,0.002523657,0.0027575018,0.0028326316,4.9659224,4.2937746,3.8002546,4.3892717,279.46634,275.20865,4.2576904,284.51163,277.66296,6.8486633,291.33847,284.2458,7.092682,285.7353,280.26508,5.470215,0.1290322580645161,0.1290322580645161
Braga,41.55032,-8.42005,4.3479344e-05,2.7903627e-06,0.0,1.1726733e-05,281.638,285.85568,292.29156,287.74106,0.0053197555,0.0035227716,0.0016890393,0.0067904308,3.0236826,2.940925,2.6698103,2.768363,285.1798,278.61847,6.5613403,289.8851,281.8883,7.9967957,296.90057,287.79047,9.110107,291.69675,284.29944,7.3973083,6.419354838709677,2.7419354838709675
Bratislava,48.148159,17.106741,0.00038415962,1.91677e-05,0.0,0.00021029449,274.62842,284.45642,294.2931,284.36276,0.0013573843,0.0022011623,0.0024648788,0.0015686078,3.5216641,3.578673,3.0793588,3.3338058,277.21365,272.0825,5.1311646,289.0429,279.67435,9.368561,299.38855,289.02753,10.361023,288.22296,280.85464,7.3683167,21.70967741935484,7.258064516129032
Braunschweig,52.265942,10.52673,0.0004247873,1.5660995e-05,0.0,0.00020625372,275.15924,282.2187,290.95908,283.13217,0.0020859626,0.0020834024,0.0024164056,0.002090045,4.1266675,3.4563932,3.0733705,3.5109823,277.29105,273.0264,4.2646484,286.3346,277.85764,8.476959,295.54156,286.0547,9.486877,286.4586,279.97476,6.4838257,6.064516129032258,2.6129032258064515
