city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,min_t2m_winter,max_t2m_spring,min_t2m_spring,max_t2m_summer,min_t2m_summer,max_t2m_autumn,min_t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn
Setúbal,38.524399,-8.8882,4.7418806e-07,0.0,0.0,3.311369e-08,284.96445,286.96994,293.06674,290.21573,287.65753,282.27057,290.25626,284.70258,295.37857,289.54272,295.51547,285.59122,0.0026038778,0.0012457106,0.00029925242,0.0023704239,4.8361983,4.6539054,4.5497446,4.081881
Lisbon,38.716671,-9.13333,5.642573e-07,0.0,0.0,6.4902835e-08,285.0096,286.85587,292.53723,290.0389,287.59732,282.413,289.76782,284.64987,294.4694,289.05167,294.96582,285.7128,0.0027391168,0.0012923453,0.00033517941,0.002459521,5.22828,5.121343,5.086149,4.4796596
Cagliari,39.207378,9.13462,1.8424458e-06,0.0,0.0,7.285012e-08,283.96283,286.93845,296.11212,290.58554,286.17325,282.2084,290.86002,282.6268,300.0232,293.29175,296.29703,285.4374,0.0021417565,0.0014253537,0.00069760747,0.0016346003,3.8232582,3.7181456,3.2170234,3.3532116
Valencia,39.469749,-0.37739,2.4296178e-05,2.6226044e-07,0.0,4.67168e-06,283.60214,287.28897,296.08884,290.35806,286.00534,281.24826,291.05273,282.66116,298.6586,292.83203,296.2562,284.5709,0.0013350594,0.0014879147,0.0014333831,0.0021403579,3.7190359,3.3457887,2.7781284,3.0015914
Palma,39.569389,2.65024,3.149112e-07,9.934108e-10,0.0,8.8115536e-07,285.68045,287.4017,295.96185,291.91092,287.71262,283.90622,290.62463,284.01834,299.16736,292.78113,296.97437,286.92624,0.0015237152,0.0010890503,0.0012062073,0.0021432936,5.5645747,4.6017323,3.508351,4.517168
Toledo,39.858101,-4.02263,8.11855e-05,2.2053719e-06,0.0,4.667971e-05,279.3156,284.92743,295.97638,287.46988,281.97525,275.39508,290.79385,279.11264,299.31152,291.27182,296.22525,279.8881,0.0016865492,0.0016803159,0.00082784763,0.0016759528,2.8668935,2.8165517,2.5003214,2.4191105
Coimbra,40.205639,-8.41955,1.5482638e-05,7.285012e-09,0.0,6.8598324e-06,281.8445,285.14252,292.10666,287.85553,283.4321,278.49094,289.23593,282.02933,294.73178,287.90024,293.92007,282.47992,0.004947755,0.0026485312,0.0008576605,0.003717857,3.520492,3.2396326,3.008117,2.9352076
Lecce,40.357029,18.17202,3.3030908e-06,0.0,0.0,6.2584874e-08,284.74045,288.27277,297.1641,291.39856,286.31442,283.17593,292.89563,283.9064,299.95312,294.73608,296.87427,285.93594,0.0028621138,0.0011146108,0.0011615276,0.0028514424,5.229013,4.7284656,3.998382,4.581812
Madrid,40.4165,-3.70256,0.00018187232,1.5473366e-05,7.947286e-09,9.244548e-05,278.62103,284.31488,295.3865,286.84262,281.2736,274.94162,290.60864,278.45493,298.6919,290.7723,295.47476,279.378,0.0017897368,0.0018046432,0.00086781185,0.0018671433,2.6347015,2.6847098,2.4556844,2.3126051
Taranto,40.476109,17.229719,1.19385895e-05,0.0,0.0,2.0274408e-06,283.6319,287.34158,296.68964,290.51678,285.20627,281.9038,292.0291,282.61478,299.80667,294.30408,296.4608,284.80728,0.0024733685,0.0011603285,0.0010317907,0.002510756,4.523851,4.046902,3.357577,3.9594567
